prob,width,distrX,distrY
0.949041095890411,7.593913532017899,"Normal{Float32}(μ=0.906f0, σ=0.954f0)","Normal{Float32}(μ=0.906f0, σ=4.669853f0)"
0.9463013698630137,3.1748267526544565,"Normal{Float32}(μ=0.443f0, σ=0.846f0)","Normal{Float32}(μ=0.443f0, σ=1.8714627f0)"
0.9501369863013699,2.904188228040965,"Normal{Float32}(μ=0.746f0, σ=0.587f0)","Normal{Float32}(μ=0.746f0, σ=1.7559633f0)"
0.9463013698630137,0.8729616608484679,"Normal{Float32}(μ=0.512f0, σ=0.122f0)","Normal{Float32}(μ=0.512f0, σ=0.5390868f0)"
0.9561643835616438,0.8150720625479277,"Normal{Float32}(μ=0.254f0, σ=0.138f0)","Normal{Float32}(μ=0.254f0, σ=0.4962815f0)"
0.943013698630137,0.18555314512561033,"Normal{Float32}(μ=0.334f0, σ=0.051f0)","Normal{Float32}(μ=0.334f0, σ=0.108559065f0)"
0.9572602739726027,1.392235179706731,"Normal{Float32}(μ=0.427f0, σ=0.386f0)","Normal{Float32}(μ=0.427f0, σ=0.8039072f0)"
0.9364383561643835,4.710465035727427,"Normal{Float32}(μ=0.868f0, σ=0.846f0)","Normal{Float32}(μ=0.868f0, σ=2.8474832f0)"
0.9545205479452055,0.5005251829546621,"Normal{Float32}(μ=0.099f0, σ=0.124f0)","Normal{Float32}(μ=0.099f0, σ=0.29664832f0)"
0.9435616438356165,3.312183587660368,"Normal{Float32}(μ=0.125f0, σ=0.74f0)","Normal{Float32}(μ=0.125f0, σ=2.01496f0)"
0.9501369863013699,5.244843446791061,"Normal{Float32}(μ=0.692f0, σ=0.706f0)","Normal{Float32}(μ=0.692f0, σ=3.2129357f0)"
0.9517808219178082,7.478391445556698,"Normal{Float32}(μ=0.137f0, σ=0.992f0)","Normal{Float32}(μ=0.137f0, σ=4.5961275f0)"
0.9326027397260274,5.247901868408926,"Normal{Float32}(μ=0.032f0, σ=0.741f0)","Normal{Float32}(μ=0.032f0, σ=3.2224882f0)"
0.9484931506849315,1.679089709626049,"Normal{Float32}(μ=0.351f0, σ=0.229f0)","Normal{Float32}(μ=0.351f0, σ=1.0338191f0)"
0.9473972602739726,7.341044082898434,"Normal{Float32}(μ=0.93f0, σ=0.969f0)","Normal{Float32}(μ=0.93f0, σ=4.4902472f0)"
0.9468493150684931,3.793960403750788,"Normal{Float32}(μ=0.959f0, σ=0.541f0)","Normal{Float32}(μ=0.959f0, σ=2.283004f0)"
0.9512328767123288,4.8095609950240235,"Normal{Float32}(μ=0.774f0, σ=0.64f0)","Normal{Float32}(μ=0.774f0, σ=2.9680023f0)"
0.9506849315068493,1.620411936219368,"Normal{Float32}(μ=0.184f0, σ=0.228f0)","Normal{Float32}(μ=0.184f0, σ=0.99319714f0)"
0.9468493150684931,1.9161151026254444,"Normal{Float32}(μ=0.297f0, σ=0.268f0)","Normal{Float32}(μ=0.297f0, σ=1.1773281f0)"
0.9457534246575342,3.761127281428948,"Normal{Float32}(μ=0.15f0, σ=0.831f0)","Normal{Float32}(μ=0.15f0, σ=2.2240045f0)"
0.9594520547945206,3.062249681529514,"Normal{Float32}(μ=0.894f0, σ=0.656f0)","Normal{Float32}(μ=0.894f0, σ=1.8275992f0)"
0.949041095890411,2.4342143146095454,"Normal{Float32}(μ=0.355f0, σ=0.492f0)","Normal{Float32}(μ=0.355f0, σ=1.4754682f0)"
0.9452054794520548,0.692778328861793,"Normal{Float32}(μ=0.132f0, σ=0.101f0)","Normal{Float32}(μ=0.132f0, σ=0.42955983f0)"
0.9452054794520548,3.5321980913005255,"Normal{Float32}(μ=0.941f0, σ=0.879f0)","Normal{Float32}(μ=0.941f0, σ=2.1058984f0)"
0.9424657534246575,2.9668067236852997,"Normal{Float32}(μ=0.057f0, σ=0.59f0)","Normal{Float32}(μ=0.057f0, σ=1.798454f0)"
0.9402739726027397,3.786924424809179,"Normal{Float32}(μ=0.246f0, σ=0.766f0)","Normal{Float32}(μ=0.246f0, σ=2.3062797f0)"
0.9545205479452055,2.456860984103436,"Normal{Float32}(μ=0.806f0, σ=0.311f0)","Normal{Float32}(μ=0.806f0, σ=1.5043944f0)"
0.9463013698630137,0.08860547491952434,"Normal{Float32}(μ=0.338f0, σ=0.018f0)","Normal{Float32}(μ=0.338f0, σ=0.05358696f0)"
0.9556164383561644,1.004368823130253,"Normal{Float32}(μ=0.824f0, σ=0.161f0)","Normal{Float32}(μ=0.824f0, σ=0.6183865f0)"
0.9424657534246575,4.729117166000832,"Normal{Float32}(μ=0.45f0, σ=0.606f0)","Normal{Float32}(μ=0.45f0, σ=2.8952518f0)"
0.949041095890411,3.9969914663447828,"Normal{Float32}(μ=0.891f0, σ=0.732f0)","Normal{Float32}(μ=0.891f0, σ=2.4294105f0)"
0.9523287671232876,2.686597460300925,"Normal{Float32}(μ=0.711f0, σ=0.44f0)","Normal{Float32}(μ=0.711f0, σ=1.6346328f0)"
0.9517808219178082,6.619388979362397,"Normal{Float32}(μ=0.361f0, σ=0.961f0)","Normal{Float32}(μ=0.361f0, σ=4.093916f0)"
0.9539726027397261,2.208566004924944,"Normal{Float32}(μ=0.26f0, σ=0.3f0)","Normal{Float32}(μ=0.26f0, σ=1.3453484f0)"
0.932054794520548,2.47072820482622,"Normal{Float32}(μ=0.39f0, σ=0.64f0)","Normal{Float32}(μ=0.39f0, σ=1.4612404f0)"
0.9517808219178082,3.031821081887215,"Normal{Float32}(μ=0.462f0, σ=0.661f0)","Normal{Float32}(μ=0.462f0, σ=1.836755f0)"
0.9457534246575342,2.358338947240229,"Normal{Float32}(μ=0.934f0, σ=0.357f0)","Normal{Float32}(μ=0.934f0, σ=1.4423206f0)"
0.9452054794520548,2.549028008064571,"Normal{Float32}(μ=0.753f0, σ=0.455f0)","Normal{Float32}(μ=0.753f0, σ=1.5768055f0)"
0.947945205479452,3.4710428463439764,"Normal{Float32}(μ=0.73f0, σ=0.519f0)","Normal{Float32}(μ=0.73f0, σ=2.1006405f0)"
0.9402739726027397,0.7785037663649118,"Normal{Float32}(μ=0.162f0, σ=0.171f0)","Normal{Float32}(μ=0.162f0, σ=0.47447258f0)"
0.9567123287671233,3.792592166362872,"Normal{Float32}(μ=0.637f0, σ=0.652f0)","Normal{Float32}(μ=0.637f0, σ=2.3320231f0)"
0.947945205479452,0.02292327101528736,"Normal{Float32}(μ=0.991f0, σ=0.004f0)","Normal{Float32}(μ=0.991f0, σ=0.013978758f0)"
0.9463013698630137,4.634557508745706,"Normal{Float32}(μ=0.384f0, σ=0.895f0)","Normal{Float32}(μ=0.384f0, σ=2.825689f0)"
0.9463013698630137,4.757224520083031,"Normal{Float32}(μ=0.618f0, σ=0.992f0)","Normal{Float32}(μ=0.618f0, σ=2.8645217f0)"
0.9473972602739726,0.24301425482946168,"Normal{Float32}(μ=0.484f0, σ=0.049f0)","Normal{Float32}(μ=0.484f0, σ=0.14713475f0)"
0.9506849315068493,5.005817139012645,"Normal{Float32}(μ=0.6f0, σ=0.695f0)","Normal{Float32}(μ=0.6f0, σ=3.0622907f0)"
0.9484931506849315,2.108721678890649,"Normal{Float32}(μ=0.454f0, σ=0.32f0)","Normal{Float32}(μ=0.454f0, σ=1.2883475f0)"
0.949041095890411,0.3486321992865593,"Normal{Float32}(μ=0.325f0, σ=0.084f0)","Normal{Float32}(μ=0.325f0, σ=0.20522515f0)"
0.9501369863013699,5.337140198945865,"Normal{Float32}(μ=0.51f0, σ=0.917f0)","Normal{Float32}(μ=0.51f0, σ=3.270429f0)"
0.9391780821917808,2.488996933087814,"Normal{Float32}(μ=0.656f0, σ=0.357f0)","Normal{Float32}(μ=0.656f0, σ=1.5377779f0)"
0.9484931506849315,0.3363537327803077,"Normal{Float32}(μ=0.87f0, σ=0.042f0)","Normal{Float32}(μ=0.87f0, σ=0.20872192f0)"
0.9452054794520548,1.2641229878355473,"Normal{Float32}(μ=0.373f0, σ=0.321f0)","Normal{Float32}(μ=0.373f0, σ=0.7439751f0)"
0.9463013698630137,1.997078121921221,"Normal{Float32}(μ=0.692f0, σ=0.315f0)","Normal{Float32}(μ=0.692f0, σ=1.2241654f0)"
0.9572602739726027,5.68939343250918,"Normal{Float32}(μ=0.747f0, σ=0.87f0)","Normal{Float32}(μ=0.747f0, σ=3.4934478f0)"
0.9501369863013699,1.468265574552838,"Normal{Float32}(μ=0.097f0, σ=0.411f0)","Normal{Float32}(μ=0.097f0, σ=0.85574555f0)"
0.9457534246575342,0.9594819535992088,"Normal{Float32}(μ=0.459f0, σ=0.204f0)","Normal{Float32}(μ=0.459f0, σ=0.5780845f0)"
0.947945205479452,2.2507345835923696,"Normal{Float32}(μ=0.608f0, σ=0.3f0)","Normal{Float32}(μ=0.608f0, σ=1.3889164f0)"
0.9539726027397261,1.7749559727683877,"Normal{Float32}(μ=0.836f0, σ=0.36f0)","Normal{Float32}(μ=0.836f0, σ=1.0773871f0)"
0.9446575342465754,4.526016609821012,"Normal{Float32}(μ=0.284f0, σ=0.961f0)","Normal{Float32}(μ=0.284f0, σ=2.7202787f0)"
0.9506849315068493,1.1719572634649276,"Normal{Float32}(μ=0.632f0, σ=0.307f0)","Normal{Float32}(μ=0.632f0, σ=0.6952995f0)"
0.9463013698630137,4.509782816902221,"Normal{Float32}(μ=0.691f0, σ=0.732f0)","Normal{Float32}(μ=0.691f0, σ=2.725462f0)"
0.9534246575342465,2.622696530671786,"Normal{Float32}(μ=0.821f0, σ=0.553f0)","Normal{Float32}(μ=0.821f0, σ=1.5806799f0)"
0.949041095890411,3.0571627266521593,"Normal{Float32}(μ=0.564f0, σ=0.601f0)","Normal{Float32}(μ=0.564f0, σ=1.8356023f0)"
0.9506849315068493,0.641193759100384,"Normal{Float32}(μ=0.03f0, σ=0.139f0)","Normal{Float32}(μ=0.03f0, σ=0.385149f0)"
0.9517808219178082,4.131018808502882,"Normal{Float32}(μ=0.091f0, σ=0.915f0)","Normal{Float32}(μ=0.091f0, σ=2.5192816f0)"
0.9484931506849315,4.108392196352301,"Normal{Float32}(μ=0.767f0, σ=0.742f0)","Normal{Float32}(μ=0.767f0, σ=2.503443f0)"
0.9512328767123288,6.309158872856933,"Normal{Float32}(μ=0.247f0, σ=0.878f0)","Normal{Float32}(μ=0.247f0, σ=3.8588479f0)"
0.9473972602739726,3.8641223076605993,"Normal{Float32}(μ=0.097f0, σ=0.603f0)","Normal{Float32}(μ=0.097f0, σ=2.3518395f0)"
0.947945205479452,5.4588955838402,"Normal{Float32}(μ=0.092f0, σ=0.908f0)","Normal{Float32}(μ=0.092f0, σ=3.327603f0)"
0.9468493150684931,0.9605779857249801,"Normal{Float32}(μ=0.438f0, σ=0.127f0)","Normal{Float32}(μ=0.438f0, σ=0.58519465f0)"
0.9446575342465754,5.980201953634098,"Normal{Float32}(μ=0.231f0, σ=0.865f0)","Normal{Float32}(μ=0.231f0, σ=3.7074666f0)"
0.947945205479452,0.8386307523702664,"Normal{Float32}(μ=0.647f0, σ=0.228f0)","Normal{Float32}(μ=0.647f0, σ=0.49448398f0)"
0.9506849315068493,1.1418767127369076,"Normal{Float32}(μ=0.682f0, σ=0.197f0)","Normal{Float32}(μ=0.682f0, σ=0.6945653f0)"
0.9545205479452055,2.5369172091582293,"Normal{Float32}(μ=0.122f0, σ=0.329f0)","Normal{Float32}(μ=0.122f0, σ=1.5423498f0)"
0.9501369863013699,5.251986944641745,"Normal{Float32}(μ=0.649f0, σ=0.985f0)","Normal{Float32}(μ=0.649f0, σ=3.1791513f0)"
0.9463013698630137,3.8902724616417204,"Normal{Float32}(μ=0.588f0, σ=0.487f0)","Normal{Float32}(μ=0.588f0, σ=2.3862424f0)"
0.9413698630136986,4.839438984941168,"Normal{Float32}(μ=0.377f0, σ=0.915f0)","Normal{Float32}(μ=0.377f0, σ=2.9246671f0)"
0.9512328767123288,3.4222030904718044,"Normal{Float32}(μ=0.24f0, σ=0.742f0)","Normal{Float32}(μ=0.24f0, σ=2.055661f0)"
0.947945205479452,2.5689129640911634,"Normal{Float32}(μ=0.222f0, σ=0.387f0)","Normal{Float32}(μ=0.222f0, σ=1.594399f0)"
0.9484931506849315,3.5007582515047906,"Normal{Float32}(μ=0.51f0, σ=0.921f0)","Normal{Float32}(μ=0.51f0, σ=2.0687175f0)"
0.9534246575342465,5.4589781014393965,"Normal{Float32}(μ=0.219f0, σ=0.924f0)","Normal{Float32}(μ=0.219f0, σ=3.292546f0)"
0.9517808219178082,3.202150118024952,"Normal{Float32}(μ=0.834f0, σ=0.547f0)","Normal{Float32}(μ=0.834f0, σ=1.9394835f0)"
0.9517808219178082,2.1916170708620633,"Normal{Float32}(μ=0.564f0, σ=0.461f0)","Normal{Float32}(μ=0.564f0, σ=1.3152826f0)"
0.9495890410958904,3.818557302416714,"Normal{Float32}(μ=0.421f0, σ=0.703f0)","Normal{Float32}(μ=0.421f0, σ=2.293382f0)"
0.9375342465753425,1.1175311431179429,"Normal{Float32}(μ=0.62f0, σ=0.285f0)","Normal{Float32}(μ=0.62f0, σ=0.6715491f0)"
0.936986301369863,1.1436814939383728,"Normal{Float32}(μ=0.292f0, σ=0.302f0)","Normal{Float32}(μ=0.292f0, σ=0.6772009f0)"
0.9468493150684931,5.258924663214925,"Normal{Float32}(μ=0.146f0, σ=0.713f0)","Normal{Float32}(μ=0.146f0, σ=3.2170978f0)"
0.9556164383561644,1.8850659332707826,"Normal{Float32}(μ=0.865f0, σ=0.459f0)","Normal{Float32}(μ=0.865f0, σ=1.1193322f0)"
0.9512328767123288,3.585062881124591,"Normal{Float32}(μ=0.926f0, σ=0.62f0)","Normal{Float32}(μ=0.926f0, σ=2.1948361f0)"
0.9501369863013699,1.0911480543897212,"Normal{Float32}(μ=0.068f0, σ=0.293f0)","Normal{Float32}(μ=0.068f0, σ=0.640036f0)"
0.9495890410958904,1.903419536341864,"Normal{Float32}(μ=0.048f0, σ=0.502f0)","Normal{Float32}(μ=0.048f0, σ=1.1278886f0)"
0.9441095890410959,7.500406213301995,"Normal{Float32}(μ=0.427f0, σ=0.941f0)","Normal{Float32}(μ=0.427f0, σ=4.6632905f0)"
0.9539726027397261,2.177100327306235,"Normal{Float32}(μ=0.973f0, σ=0.496f0)","Normal{Float32}(μ=0.973f0, σ=1.3166714f0)"
0.9517808219178082,3.2568012475163086,"Normal{Float32}(μ=0.928f0, σ=0.598f0)","Normal{Float32}(μ=0.928f0, σ=1.9822367f0)"
0.9523287671232876,0.5553106036804663,"Normal{Float32}(μ=0.078f0, σ=0.13f0)","Normal{Float32}(μ=0.078f0, σ=0.33556938f0)"
0.9583561643835616,2.8667023386902084,"Normal{Float32}(μ=0.539f0, σ=0.407f0)","Normal{Float32}(μ=0.539f0, σ=1.7420814f0)"
0.9446575342465754,3.4133416994660752,"Normal{Float32}(μ=0.582f0, σ=0.542f0)","Normal{Float32}(μ=0.582f0, σ=2.088962f0)"
0.9435616438356165,6.077843935543632,"Normal{Float32}(μ=0.311f0, σ=0.776f0)","Normal{Float32}(μ=0.311f0, σ=3.7471964f0)"
0.9534246575342465,0.3401510212739263,"Normal{Float32}(μ=0.121f0, σ=0.072f0)","Normal{Float32}(μ=0.121f0, σ=0.20385028f0)"
0.9512328767123288,7.311338062667095,"Normal{Float32}(μ=0.205f0, σ=0.933f0)","Normal{Float32}(μ=0.205f0, σ=4.5057945f0)"
