prob,width,distrX,distrY
0.95111114,36.90744,Exponential{Float32}(θ=18.219692f0),Exponential{Float32}(θ=19.129026f0)
0.925,26.857866,Exponential{Float32}(θ=9.426381f0),Exponential{Float32}(θ=17.072006f0)
0.9444444,27.139744,Exponential{Float32}(θ=15.167794f0),Exponential{Float32}(θ=12.148226f0)
0.90166664,15.368817,Exponential{Float32}(θ=10.729578f0),Exponential{Float32}(θ=3.31444f0)
0.9316667,9.343873,Exponential{Float32}(θ=5.8231325f0),Exponential{Float32}(θ=3.6175585f0)
0.9111111,10.442987,Exponential{Float32}(θ=7.3488793f0),Exponential{Float32}(θ=1.9653575f0)
0.9533333,17.274448,Exponential{Float32}(θ=9.119229f0),Exponential{Float32}(θ=8.342362f0)
0.95444447,34.49853,Exponential{Float32}(θ=17.483397f0),Exponential{Float32}(θ=17.082706f0)
0.945,6.2051325,Exponential{Float32}(θ=2.8835387f0),Exponential{Float32}(θ=3.3472242f0)
0.8811111,20.167404,Exponential{Float32}(θ=3.3804607f0),Exponential{Float32}(θ=15.060385f0)
0.9583333,28.463366,Exponential{Float32}(θ=14.151964f0),Exponential{Float32}(θ=14.409199f0)
0.89055556,27.195454,Exponential{Float32}(θ=3.5944781f0),Exponential{Float32}(θ=19.847256f0)
0.87833333,19.993494,Exponential{Float32}(θ=1.6098368f0),Exponential{Float32}(θ=15.075973f0)
0.93722224,13.087814,Exponential{Float32}(θ=7.660371f0),Exponential{Float32}(θ=5.3518066f0)
0.95,37.52908,Exponential{Float32}(θ=18.676315f0),Exponential{Float32}(θ=19.414238f0)
0.93222225,31.273632,Exponential{Float32}(θ=19.229239f0),Exponential{Float32}(θ=11.270057f0)
0.94722223,28.775755,Exponential{Float32}(θ=15.707742f0),Exponential{Float32}(θ=13.1545925f0)
0.9461111,9.726005,Exponential{Float32}(θ=4.48754f0),Exponential{Float32}(θ=5.326064f0)
0.95055556,12.686404,Exponential{Float32}(θ=6.643434f0),Exponential{Float32}(θ=6.0883794f0)
0.9,23.531086,Exponential{Float32}(θ=3.852944f0),Exponential{Float32}(θ=16.788612f0)
0.955,31.691345,Exponential{Float32}(θ=17.977201f0),Exponential{Float32}(θ=13.465735f0)
0.9538889,18.262053,Exponential{Float32}(θ=7.7424855f0),Exponential{Float32}(θ=10.353648f0)
0.94666666,6.354256,Exponential{Float32}(θ=3.5041676f0),Exponential{Float32}(θ=2.9148407f0)
0.95555556,36.184036,Exponential{Float32}(θ=18.881529f0),Exponential{Float32}(θ=17.698633f0)
0.8883333,16.530807,Exponential{Float32}(θ=2.0849044f0),Exponential{Float32}(θ=12.2115965f0)
0.90555555,22.686005,Exponential{Float32}(θ=5.667344f0),Exponential{Float32}(θ=15.552606f0)
0.9022222,24.063065,Exponential{Float32}(θ=16.312689f0),Exponential{Float32}(θ=6.9056897f0)
0.8744444,9.947153,Exponential{Float32}(θ=7.4186554f0),Exponential{Float32}(θ=1.3504546f0)
0.8983333,22.925716,Exponential{Float32}(θ=16.64947f0),Exponential{Float32}(θ=4.0568223f0)
0.94,22.159952,Exponential{Float32}(θ=9.559189f0),Exponential{Float32}(θ=12.51204f0)
0.94666666,32.9193,Exponential{Float32}(θ=17.936163f0),Exponential{Float32}(θ=14.913674f0)
0.94666666,24.341913,Exponential{Float32}(θ=14.509732f0),Exponential{Float32}(θ=9.359663f0)
0.91833335,28.443499,Exponential{Float32}(θ=7.851075f0),Exponential{Float32}(θ=19.255274f0)
0.9433333,12.521955,Exponential{Float32}(θ=5.9316936f0),Exponential{Float32}(θ=6.691861f0)
0.9488889,21.80385,Exponential{Float32}(θ=8.410248f0),Exponential{Float32}(θ=13.15353f0)
0.94166666,23.365608,Exponential{Float32}(θ=9.775382f0),Exponential{Float32}(θ=13.5575695f0)
0.90444446,27.306652,Exponential{Float32}(θ=18.746296f0),Exponential{Float32}(θ=7.7884927f0)
0.93,25.316286,Exponential{Float32}(θ=15.312279f0),Exponential{Float32}(θ=9.653555f0)
0.92944443,25.792387,Exponential{Float32}(θ=14.862395f0),Exponential{Float32}(θ=10.86705f0)
0.95666665,8.240568,Exponential{Float32}(θ=4.085228f0),Exponential{Float32}(θ=4.248235f0)
0.95111114,25.986212,Exponential{Float32}(θ=13.104467f0),Exponential{Float32}(θ=13.388442f0)
0.86722225,26.594292,Exponential{Float32}(θ=19.836699f0),Exponential{Float32}(θ=1.0748439f0)
