prob,width,distrX,distrY
0.735,51.774929941164125,"LogNormal{Float32}(μ=0.90629965f0, σ=1.8125993f0)","LogNormal{Float32}(μ=0.95415926f0, σ=1.9083185f0)"
0.5833333333333334,18.239153225090767,"LogNormal{Float32}(μ=0.44349372f0, σ=0.88698745f0)","LogNormal{Float32}(μ=0.8458951f0, σ=1.6917902f0)"
0.6705555555555556,12.651548915637864,"LogNormal{Float32}(μ=0.74567336f0, σ=1.4913467f0)","LogNormal{Float32}(μ=0.5867487f0, σ=1.1734974f0)"
0.7233333333333334,3.247902737657229,"LogNormal{Float32}(μ=0.51208305f0, σ=1.0241661f0)","LogNormal{Float32}(μ=0.12181264f0, σ=0.24362528f0)"
0.8283333333333334,0.8730366003513336,"LogNormal{Float32}(μ=0.2538491f0, σ=0.5076982f0)","LogNormal{Float32}(μ=0.13776624f0, σ=0.27553248f0)"
0.7844444444444445,1.2783153207765685,"LogNormal{Float32}(μ=0.33415154f0, σ=0.6683031f0)","LogNormal{Float32}(μ=0.050808292f0, σ=0.101616584f0)"
0.8255555555555556,2.8517749054233232,"LogNormal{Float32}(μ=0.42732787f0, σ=0.85465574f0)","LogNormal{Float32}(μ=0.38644013f0, σ=0.77288026f0)"
0.8127777777777778,32.07188522567352,"LogNormal{Float32}(μ=0.8675472f0, σ=1.7350944f0)","LogNormal{Float32}(μ=0.8464582f0, σ=1.6929164f0)"
0.8422222222222222,0.39716205841965146,"LogNormal{Float32}(μ=0.09913362f0, σ=0.19826724f0)","LogNormal{Float32}(μ=0.12353812f0, σ=0.24707624f0)"
0.635,10.881538800299168,"LogNormal{Float32}(μ=0.12528741f0, σ=0.25057483f0)","LogNormal{Float32}(μ=0.7400203f0, σ=1.4800406f0)"
0.8122222222222222,13.15223741925425,"LogNormal{Float32}(μ=0.69220865f0, σ=1.3844173f0)","LogNormal{Float32}(μ=0.7057473f0, σ=1.4114946f0)"
0.48944444444444446,47.94752733240525,"LogNormal{Float32}(μ=0.13655147f0, σ=0.27310294f0)","LogNormal{Float32}(μ=0.99196076f0, σ=1.9839215f0)"
0.6416666666666667,10.1976941692498,"LogNormal{Float32}(μ=0.032096673f0, σ=0.064193346f0)","LogNormal{Float32}(μ=0.7408407f0, σ=1.4816813f0)"
0.8194444444444444,1.5908666716019313,"LogNormal{Float32}(μ=0.35054582f0, σ=0.70109165f0)","LogNormal{Float32}(μ=0.22904244f0, σ=0.45808488f0)"
0.755,55.78379639703366,"LogNormal{Float32}(μ=0.93033236f0, σ=1.8606647f0)","LogNormal{Float32}(μ=0.9691704f0, σ=1.9383408f0)"
0.5144444444444445,31.596286057664287,"LogNormal{Float32}(μ=0.9594336f0, σ=1.9188672f0)","LogNormal{Float32}(μ=0.5405293f0, σ=1.0810586f0)"
0.6911111111111111,15.74881458007627,"LogNormal{Float32}(μ=0.7740917f0, σ=1.5481834f0)","LogNormal{Float32}(μ=0.63971543f0, σ=1.2794309f0)"
0.8561111111111112,0.8727901972995864,"LogNormal{Float32}(μ=0.18355472f0, σ=0.36710945f0)","LogNormal{Float32}(μ=0.22768758f0, σ=0.45537516f0)"
0.845,1.3870311888390117,"LogNormal{Float32}(μ=0.29702285f0, σ=0.5940457f0)","LogNormal{Float32}(μ=0.26780945f0, σ=0.5356189f0)"
0.6,16.92817711174488,"LogNormal{Float32}(μ=0.15015495f0, σ=0.3003099f0)","LogNormal{Float32}(μ=0.8309796f0, σ=1.6619592f0)"
0.5838888888888889,29.664799891644055,"LogNormal{Float32}(μ=0.8935369f0, σ=1.7870739f0)","LogNormal{Float32}(μ=0.65609133f0, σ=1.3121827f0)"
0.7944444444444444,3.385870156834523,"LogNormal{Float32}(μ=0.35486767f0, σ=0.70973533f0)","LogNormal{Float32}(μ=0.49229726f0, σ=0.9845945f0)"
0.8655555555555555,0.4158946482009358,"LogNormal{Float32}(μ=0.1317983f0, σ=0.2635966f0)","LogNormal{Float32}(μ=0.10078109f0, σ=0.20156218f0)"
0.7122222222222222,46.80625141609046,"LogNormal{Float32}(μ=0.9411331f0, σ=1.8822662f0)","LogNormal{Float32}(μ=0.87887543f0, σ=1.7577509f0)"
0.7194444444444444,4.593003894819153,"LogNormal{Float32}(μ=0.05710023f0, σ=0.11420046f0)","LogNormal{Float32}(μ=0.590084f0, σ=1.180168f0)"
0.6127777777777778,11.211291586856047,"LogNormal{Float32}(μ=0.2456497f0, σ=0.4912994f0)","LogNormal{Float32}(μ=0.7659266f0, σ=1.5318532f0)"
0.5894444444444444,14.960123614304596,"LogNormal{Float32}(μ=0.80593103f0, σ=1.6118621f0)","LogNormal{Float32}(μ=0.3108258f0, σ=0.6216516f0)"
0.775,1.2746860850188466,"LogNormal{Float32}(μ=0.33782396f0, σ=0.6756479f0)","LogNormal{Float32}(μ=0.018444978f0, σ=0.036889955f0)"
0.5788888888888889,16.026565940711233,"LogNormal{Float32}(μ=0.8236563f0, σ=1.6473126f0)","LogNormal{Float32}(μ=0.1608854f0, σ=0.3217708f0)"
0.7405555555555555,5.744840071863599,"LogNormal{Float32}(μ=0.45048365f0, σ=0.9009673f0)","LogNormal{Float32}(μ=0.60589683f0, σ=1.2117937f0)"
0.6272222222222222,26.141337867776553,"LogNormal{Float32}(μ=0.891377f0, σ=1.782754f0)","LogNormal{Float32}(μ=0.7322986f0, σ=1.4645972f0)"
0.66,9.944021772974068,"LogNormal{Float32}(μ=0.71103853f0, σ=1.4220771f0)","LogNormal{Float32}(μ=0.4399823f0, σ=0.8799646f0)"
0.5144444444444445,33.19632807445195,"LogNormal{Float32}(μ=0.3605829f0, σ=0.7211658f0)","LogNormal{Float32}(μ=0.9608039f0, σ=1.9216079f0)"
0.8316666666666667,1.3753755792644289,"LogNormal{Float32}(μ=0.25956282f0, σ=0.51912564f0)","LogNormal{Float32}(μ=0.29957163f0, σ=0.59914327f0)"
0.6927777777777778,6.347527102198866,"LogNormal{Float32}(μ=0.39001304f0, σ=0.7800261f0)","LogNormal{Float32}(μ=0.63965946f0, σ=1.2793189f0)"
0.7288888888888889,7.928490298704968,"LogNormal{Float32}(μ=0.46186224f0, σ=0.9237245f0)","LogNormal{Float32}(μ=0.6609247f0, σ=1.3218493f0)"
0.5166666666666667,27.605035703678926,"LogNormal{Float32}(μ=0.9340156f0, σ=1.8680311f0)","LogNormal{Float32}(μ=0.35728908f0, σ=0.71457815f0)"
0.6588888888888889,11.637733782165581,"LogNormal{Float32}(μ=0.75327784f0, σ=1.5065557f0)","LogNormal{Float32}(μ=0.45545027f0, σ=0.91090053f0)"
0.6677777777777778,11.36527018022206,"LogNormal{Float32}(μ=0.7295997f0, σ=1.4591994f0)","LogNormal{Float32}(μ=0.5193184f0, σ=1.0386368f0)"
0.8305555555555556,0.6339618284172482,"LogNormal{Float32}(μ=0.16238043f0, σ=0.32476085f0)","LogNormal{Float32}(μ=0.17095974f0, σ=0.34191948f0)"
0.8266666666666667,10.152668667038283,"LogNormal{Float32}(μ=0.6370773f0, σ=1.2741545f0)","LogNormal{Float32}(μ=0.65202326f0, σ=1.3040465f0)"
0.5172222222222222,40.723140433662465,"LogNormal{Float32}(μ=0.9914051f0, σ=1.9828103f0)","LogNormal{Float32}(μ=0.0039391504f0, σ=0.007878301f0)"
0.555,23.48505459262265,"LogNormal{Float32}(μ=0.38354853f0, σ=0.76709706f0)","LogNormal{Float32}(μ=0.89540666f0, σ=1.7908133f0)"
0.5072222222222222,41.937770979338225,"LogNormal{Float32}(μ=0.6182065f0, σ=1.236413f0)","LogNormal{Float32}(μ=0.99196464f0, σ=1.9839293f0)"
0.7422222222222222,2.768736449380716,"LogNormal{Float32}(μ=0.48428932f0, σ=0.96857864f0)","LogNormal{Float32}(μ=0.048998885f0, σ=0.09799777f0)"
0.7627777777777778,10.499903979814714,"LogNormal{Float32}(μ=0.59970194f0, σ=1.1994039f0)","LogNormal{Float32}(μ=0.69514996f0, σ=1.3902999f0)"
0.7977777777777778,2.7729670980241563,"LogNormal{Float32}(μ=0.45369336f0, σ=0.9073867f0)","LogNormal{Float32}(μ=0.31950402f0, σ=0.63900805f0)"
0.7788888888888889,1.2307208534081777,"LogNormal{Float32}(μ=0.32490343f0, σ=0.64980686f0)","LogNormal{Float32}(μ=0.08422071f0, σ=0.16844141f0)"
0.5533333333333333,27.388734183079666,"LogNormal{Float32}(μ=0.51004094f0, σ=1.0200819f0)","LogNormal{Float32}(μ=0.9167527f0, σ=1.8335054f0)"
0.6738888888888889,6.705490415526761,"LogNormal{Float32}(μ=0.6560983f0, σ=1.3121966f0)","LogNormal{Float32}(μ=0.35721305f0, σ=0.7144261f0)"
0.5655555555555556,19.23892807829711,"LogNormal{Float32}(μ=0.86975455f0, σ=1.7395091f0)","LogNormal{Float32}(μ=0.04239416f0, σ=0.08478832f0)"
0.8377777777777777,2.037938499053319,"LogNormal{Float32}(μ=0.3733759f0, σ=0.7467518f0)","LogNormal{Float32}(μ=0.32064718f0, σ=0.64129436f0)"
0.6566666666666666,8.472979953388373,"LogNormal{Float32}(μ=0.69223493f0, σ=1.3844699f0)","LogNormal{Float32}(μ=0.31546122f0, σ=0.63092244f0)"
0.6822222222222222,26.51970190445582,"LogNormal{Float32}(μ=0.74685407f0, σ=1.4937081f0)","LogNormal{Float32}(μ=0.86957943f0, σ=1.7391589f0)"
0.7633333333333333,1.910927686691284,"LogNormal{Float32}(μ=0.09667869f0, σ=0.19335738f0)","LogNormal{Float32}(μ=0.4107374f0, σ=0.8214748f0)"
0.7544444444444445,2.526744963427385,"LogNormal{Float32}(μ=0.45910254f0, σ=0.9182051f0)","LogNormal{Float32}(μ=0.20406356f0, σ=0.40812713f0)"
0.7005555555555556,5.39863786349694,"LogNormal{Float32}(μ=0.6083434f0, σ=1.2166868f0)","LogNormal{Float32}(μ=0.30007496f0, σ=0.6001499f0)"
0.595,17.04333334459199,"LogNormal{Float32}(μ=0.83643144f0, σ=1.6728629f0)","LogNormal{Float32}(μ=0.3597634f0, σ=0.7195268f0)"
0.5038888888888889,29.790121427476407,"LogNormal{Float32}(μ=0.28388053f0, σ=0.56776106f0)","LogNormal{Float32}(μ=0.96141976f0, σ=1.9228395f0)"
0.6811111111111111,5.845031296494934,"LogNormal{Float32}(μ=0.63151926f0, σ=1.2630385f0)","LogNormal{Float32}(μ=0.30745465f0, σ=0.6149093f0)"
0.81,14.72797826046745,"LogNormal{Float32}(μ=0.6911617f0, σ=1.3823234f0)","LogNormal{Float32}(μ=0.7318197f0, σ=1.4636394f0)"
0.6083333333333333,16.37080190844006,"LogNormal{Float32}(μ=0.82128346f0, σ=1.6425669f0)","LogNormal{Float32}(μ=0.55300844f0, σ=1.1060169f0)"
0.8133333333333334,7.4334228154023485,"LogNormal{Float32}(μ=0.5644096f0, σ=1.1288192f0)","LogNormal{Float32}(μ=0.60073286f0, σ=1.2014657f0)"
0.84,0.35961098598109353,"LogNormal{Float32}(μ=0.030378874f0, σ=0.06075775f0)","LogNormal{Float32}(μ=0.13917856f0, σ=0.27835712f0)"
0.5483333333333333,28.16898435054554,"LogNormal{Float32}(μ=0.09104299f0, σ=0.18208598f0)","LogNormal{Float32}(μ=0.91535467f0, σ=1.8307093f0)"
0.8227777777777778,18.441074657473298,"LogNormal{Float32}(μ=0.76686794f0, σ=1.5337359f0)","LogNormal{Float32}(μ=0.7416582f0, σ=1.4833164f0)"
0.5444444444444444,20.958732702533403,"LogNormal{Float32}(μ=0.24664047f0, σ=0.49328095f0)","LogNormal{Float32}(μ=0.8784628f0, σ=1.7569256f0)"
0.6861111111111111,4.763660798006588,"LogNormal{Float32}(μ=0.0967863f0, σ=0.1935726f0)","LogNormal{Float32}(μ=0.6026198f0, σ=1.2052397f0)"
0.5522222222222222,24.618039670172664,"LogNormal{Float32}(μ=0.092066616f0, σ=0.18413323f0)","LogNormal{Float32}(μ=0.9076189f0, σ=1.8152378f0)"
0.7483333333333333,2.177060974902577,"LogNormal{Float32}(μ=0.43796477f0, σ=0.87592953f0)","LogNormal{Float32}(μ=0.12736082f0, σ=0.25472164f0)"
0.5633333333333334,19.98517269012001,"LogNormal{Float32}(μ=0.23146826f0, σ=0.46293652f0)","LogNormal{Float32}(μ=0.86522096f0, σ=1.7304419f0)"
0.6761111111111111,6.335957347320186,"LogNormal{Float32}(μ=0.64714277f0, σ=1.2942855f0)","LogNormal{Float32}(μ=0.2284019f0, σ=0.4568038f0)"
0.6583333333333333,7.421195700466633,"LogNormal{Float32}(μ=0.6816392f0, σ=1.3632784f0)","LogNormal{Float32}(μ=0.19702098f0, σ=0.39404196f0)"
0.7877777777777778,1.2617499300175243,"LogNormal{Float32}(μ=0.1223942f0, σ=0.2447884f0)","LogNormal{Float32}(μ=0.32905954f0, σ=0.6581191f0)"
0.5166666666666667,44.29476863139205,"LogNormal{Float32}(μ=0.6488133f0, σ=1.2976266f0)","LogNormal{Float32}(μ=0.9850057f0, σ=1.9700114f0)"
0.775,5.751346351835463,"LogNormal{Float32}(μ=0.58762985f0, σ=1.1752597f0)","LogNormal{Float32}(μ=0.48682532f0, σ=0.97365063f0)"
0.5466666666666666,26.628921526670457,"LogNormal{Float32}(μ=0.37737322f0, σ=0.75474644f0)","LogNormal{Float32}(μ=0.9151039f0, σ=1.8302078f0)"
0.6283333333333333,10.618043618814813,"LogNormal{Float32}(μ=0.2404468f0, σ=0.4808936f0)","LogNormal{Float32}(μ=0.7418238f0, σ=1.4836476f0)"
0.7933333333333333,1.8591099298000335,"LogNormal{Float32}(μ=0.22214943f0, σ=0.44429886f0)","LogNormal{Float32}(μ=0.38681498f0, σ=0.77362996f0)"
0.5438888888888889,30.629435090621314,"LogNormal{Float32}(μ=0.5096965f0, σ=1.019393f0)","LogNormal{Float32}(μ=0.92063254f0, σ=1.8412651f0)"
0.52,26.696227645708454,"LogNormal{Float32}(μ=0.21857867f0, σ=0.43715733f0)","LogNormal{Float32}(μ=0.92388576f0, σ=1.8477715f0)"
0.5961111111111111,18.14866757310099,"LogNormal{Float32}(μ=0.83404803f0, σ=1.6680961f0)","LogNormal{Float32}(μ=0.54680383f0, σ=1.0936077f0)"
0.8,5.246666659000847,"LogNormal{Float32}(μ=0.5635447f0, σ=1.1270894f0)","LogNormal{Float32}(μ=0.460865f0, σ=0.92173f0)"
