prob,width,distrX,distrY
0.9433333333333334,72.93141,"LogNormal{Float32}(μ=0.90629965f0, σ=1.8125993f0)","LogNormal{Float32}(μ=0.95415926f0, σ=1.9083185f0)"
0.6472222222222223,25.601261,"LogNormal{Float32}(μ=0.44349372f0, σ=0.88698745f0)","LogNormal{Float32}(μ=0.8458951f0, σ=1.6917902f0)"
0.8166666666666667,17.757738,"LogNormal{Float32}(μ=0.74567336f0, σ=1.4913467f0)","LogNormal{Float32}(μ=0.5867487f0, σ=1.1734974f0)"
0.8016666666666666,4.5428357,"LogNormal{Float32}(μ=0.51208305f0, σ=1.0241661f0)","LogNormal{Float32}(μ=0.12181264f0, σ=0.24362528f0)"
0.9283333333333333,1.2184243,"LogNormal{Float32}(μ=0.2538491f0, σ=0.5076982f0)","LogNormal{Float32}(μ=0.13776624f0, σ=0.27553248f0)"
0.8744444444444445,1.7846215,"LogNormal{Float32}(μ=0.33415154f0, σ=0.6683031f0)","LogNormal{Float32}(μ=0.050808292f0, σ=0.101616584f0)"
0.9627777777777777,3.9888225,"LogNormal{Float32}(μ=0.42732787f0, σ=0.85465574f0)","LogNormal{Float32}(μ=0.38644013f0, σ=0.77288026f0)"
0.9772222222222222,45.091774,"LogNormal{Float32}(μ=0.8675472f0, σ=1.7350944f0)","LogNormal{Float32}(μ=0.8464582f0, σ=1.6929164f0)"
0.95,0.55356336,"LogNormal{Float32}(μ=0.09913362f0, σ=0.19826724f0)","LogNormal{Float32}(μ=0.12353812f0, σ=0.24707624f0)"
0.6955555555555556,15.253203,"LogNormal{Float32}(μ=0.12528741f0, σ=0.25057483f0)","LogNormal{Float32}(μ=0.7400203f0, σ=1.4800406f0)"
0.975,18.461075,"LogNormal{Float32}(μ=0.69220865f0, σ=1.3844173f0)","LogNormal{Float32}(μ=0.7057473f0, σ=1.4114946f0)"
0.5366666666666666,67.688835,"LogNormal{Float32}(μ=0.13655147f0, σ=0.27310294f0)","LogNormal{Float32}(μ=0.99196076f0, σ=1.9839215f0)"
0.7005555555555556,14.299433,"LogNormal{Float32}(μ=0.032096673f0, σ=0.064193346f0)","LogNormal{Float32}(μ=0.7408407f0, σ=1.4816813f0)"
