prob,width,distrX,distrY
0.89166665,64.38794,"LogNormal{Float32}(μ=0.90629965f0, σ=1.8125993f0)","LogNormal{Float32}(μ=0.95415926f0, σ=1.9083185f0)"
0.6472222,23.313332,"LogNormal{Float32}(μ=0.44349372f0, σ=0.88698745f0)","LogNormal{Float32}(μ=0.8458951f0, σ=1.6917902f0)"
0.7866667,16.174038,"LogNormal{Float32}(μ=0.74567336f0, σ=1.4913467f0)","LogNormal{Float32}(μ=0.5867487f0, σ=1.1734974f0)"
0.8066667,4.2090974,"LogNormal{Float32}(μ=0.51208305f0, σ=1.0241661f0)","LogNormal{Float32}(μ=0.12181264f0, σ=0.24362528f0)"
0.9222222,1.1831855,"LogNormal{Float32}(μ=0.2538491f0, σ=0.5076982f0)","LogNormal{Float32}(μ=0.13776624f0, σ=0.27553248f0)"
0.8938889,1.7182753,"LogNormal{Float32}(μ=0.33415154f0, σ=0.6683031f0)","LogNormal{Float32}(μ=0.050808292f0, σ=0.101616584f0)"
0.94,3.8101194,"LogNormal{Float32}(μ=0.42732787f0, σ=0.85465574f0)","LogNormal{Float32}(μ=0.38644013f0, σ=0.77288026f0)"
0.945,40.365807,"LogNormal{Float32}(μ=0.8675472f0, σ=1.7350944f0)","LogNormal{Float32}(μ=0.8464582f0, σ=1.6929164f0)"
0.9488889,0.54916966,"LogNormal{Float32}(μ=0.09913362f0, σ=0.19826724f0)","LogNormal{Float32}(μ=0.12353812f0, σ=0.24707624f0)"
0.695,14.136293,"LogNormal{Float32}(μ=0.12528741f0, σ=0.25057483f0)","LogNormal{Float32}(μ=0.7400203f0, σ=1.4800406f0)"
0.96166664,16.931114,"LogNormal{Float32}(μ=0.69220865f0, σ=1.3844173f0)","LogNormal{Float32}(μ=0.7057473f0, σ=1.4114946f0)"
0.5422222,62.623802,"LogNormal{Float32}(μ=0.13655147f0, σ=0.27310294f0)","LogNormal{Float32}(μ=0.99196076f0, σ=1.9839215f0)"
0.6711111,13.1943445,"LogNormal{Float32}(μ=0.032096673f0, σ=0.064193346f0)","LogNormal{Float32}(μ=0.7408407f0, σ=1.4816813f0)"
0.915,2.1485348,"LogNormal{Float32}(μ=0.35054582f0, σ=0.70109165f0)","LogNormal{Float32}(μ=0.22904244f0, σ=0.45808488f0)"
0.8883333,69.28603,"LogNormal{Float32}(μ=0.93033236f0, σ=1.8606647f0)","LogNormal{Float32}(μ=0.9691704f0, σ=1.9383408f0)"
0.57944447,38.828648,"LogNormal{Float32}(μ=0.9594336f0, σ=1.9188672f0)","LogNormal{Float32}(μ=0.5405293f0, σ=1.0810586f0)"
0.8233333,19.70273,"LogNormal{Float32}(μ=0.7740917f0, σ=1.5481834f0)","LogNormal{Float32}(μ=0.63971543f0, σ=1.2794309f0)"
0.94722223,1.1945822,"LogNormal{Float32}(μ=0.18355472f0, σ=0.36710945f0)","LogNormal{Float32}(μ=0.22768758f0, σ=0.45537516f0)"
0.95555556,1.8922218,"LogNormal{Float32}(μ=0.29702285f0, σ=0.5940457f0)","LogNormal{Float32}(μ=0.26780945f0, σ=0.5356189f0)"
0.62833333,21.868652,"LogNormal{Float32}(μ=0.15015495f0, σ=0.3003099f0)","LogNormal{Float32}(μ=0.8309796f0, σ=1.6619592f0)"
0.66944444,36.40393,"LogNormal{Float32}(μ=0.8935369f0, σ=1.7870739f0)","LogNormal{Float32}(μ=0.65609133f0, σ=1.3121827f0)"
0.8938889,4.488096,"LogNormal{Float32}(μ=0.35486767f0, σ=0.70973533f0)","LogNormal{Float32}(μ=0.49229726f0, σ=0.9845945f0)"
0.95,0.5745348,"LogNormal{Float32}(μ=0.1317983f0, σ=0.2635966f0)","LogNormal{Float32}(μ=0.10078109f0, σ=0.20156218f0)"
0.86388886,58.547653,"LogNormal{Float32}(μ=0.9411331f0, σ=1.8822662f0)","LogNormal{Float32}(μ=0.87887543f0, σ=1.7577509f0)"
0.77444446,6.1418076,"LogNormal{Float32}(μ=0.05710023f0, σ=0.11420046f0)","LogNormal{Float32}(μ=0.590084f0, σ=1.180168f0)"
0.6727778,14.421999,"LogNormal{Float32}(μ=0.2456497f0, σ=0.4912994f0)","LogNormal{Float32}(μ=0.7659266f0, σ=1.5318532f0)"
0.6577778,18.743725,"LogNormal{Float32}(μ=0.80593103f0, σ=1.6118621f0)","LogNormal{Float32}(μ=0.3108258f0, σ=0.6216516f0)"
0.8688889,1.705577,"LogNormal{Float32}(μ=0.33782396f0, σ=0.6756479f0)","LogNormal{Float32}(μ=0.018444978f0, σ=0.036889955f0)"
0.63222224,20.203339,"LogNormal{Float32}(μ=0.8236563f0, σ=1.6473126f0)","LogNormal{Float32}(μ=0.1608854f0, σ=0.3217708f0)"
