prob,width,distrX,distrY
0.015555555555555555,3.9598671285589484,"LogNormal{Float32}(μ=0.9063f0, σ=1.8126f0)","LogNormal{Float32}(μ=0.9542f0, σ=1.9084f0)"
0.0005555555555555556,3.885851338225669,"LogNormal{Float32}(μ=0.4435f0, σ=0.887f0)","LogNormal{Float32}(μ=0.8459f0, σ=1.6918f0)"
0.042222222222222223,3.809124835802811,"LogNormal{Float32}(μ=0.7457f0, σ=1.4914f0)","LogNormal{Float32}(μ=0.5867f0, σ=1.1734f0)"
0.11388888888888889,3.3605648309621676,"LogNormal{Float32}(μ=0.5121f0, σ=1.0242f0)","LogNormal{Float32}(μ=0.1218f0, σ=0.2436f0)"
0.10611111111111111,3.7596744892395346,"LogNormal{Float32}(μ=0.2538f0, σ=0.5076f0)","LogNormal{Float32}(μ=0.1378f0, σ=0.2756f0)"
0.09111111111111111,3.9864576609205042,"LogNormal{Float32}(μ=0.3342f0, σ=0.6684f0)","LogNormal{Float32}(μ=0.0508f0, σ=0.1016f0)"
0.11555555555555555,3.557175216722519,"LogNormal{Float32}(μ=0.4273f0, σ=0.8546f0)","LogNormal{Float32}(μ=0.3864f0, σ=0.7728f0)"
0.10333333333333333,3.346780165235226,"LogNormal{Float32}(μ=0.8675f0, σ=1.735f0)","LogNormal{Float32}(μ=0.8465f0, σ=1.693f0)"
0.11388888888888889,3.784664372482059,"LogNormal{Float32}(μ=0.0991f0, σ=0.1982f0)","LogNormal{Float32}(μ=0.1235f0, σ=0.247f0)"
0.014444444444444444,3.6185574582709363,"LogNormal{Float32}(μ=0.1253f0, σ=0.2506f0)","LogNormal{Float32}(μ=0.74f0, σ=1.48f0)"
0.11166666666666666,3.414731889300747,"LogNormal{Float32}(μ=0.6922f0, σ=1.3844f0)","LogNormal{Float32}(μ=0.7057f0, σ=1.4114f0)"
0.0,3.4242014886115957,"LogNormal{Float32}(μ=0.1366f0, σ=0.2732f0)","LogNormal{Float32}(μ=0.992f0, σ=1.984f0)"
0.01888888888888889,3.589264596861479,"LogNormal{Float32}(μ=0.0321f0, σ=0.0642f0)","LogNormal{Float32}(μ=0.7408f0, σ=1.4816f0)"
0.11388888888888889,3.6215713187459833,"LogNormal{Float32}(μ=0.3505f0, σ=0.701f0)","LogNormal{Float32}(μ=0.229f0, σ=0.458f0)"
0.025555555555555557,3.9076390638064753,"LogNormal{Float32}(μ=0.9303f0, σ=1.8606f0)","LogNormal{Float32}(μ=0.9692f0, σ=1.9384f0)"
0.0016666666666666668,3.861661904297976,"LogNormal{Float32}(μ=0.9594f0, σ=1.9188f0)","LogNormal{Float32}(μ=0.5405f0, σ=1.081f0)"
0.029444444444444443,3.8721054102856822,"LogNormal{Float32}(μ=0.7741f0, σ=1.5482f0)","LogNormal{Float32}(μ=0.6397f0, σ=1.2794f0)"
0.11222222222222222,3.676294269209805,"LogNormal{Float32}(μ=0.1836f0, σ=0.3672f0)","LogNormal{Float32}(μ=0.2277f0, σ=0.4554f0)"
0.11777777777777777,3.645246682226328,"LogNormal{Float32}(μ=0.297f0, σ=0.594f0)","LogNormal{Float32}(μ=0.2678f0, σ=0.5356f0)"
0.0011111111111111111,3.629678138629404,"LogNormal{Float32}(μ=0.1502f0, σ=0.3004f0)","LogNormal{Float32}(μ=0.831f0, σ=1.662f0)"
0.0022222222222222222,4.017601202659102,"LogNormal{Float32}(μ=0.8935f0, σ=1.787f0)","LogNormal{Float32}(μ=0.6561f0, σ=1.3122f0)"
0.11222222222222222,3.49609862039679,"LogNormal{Float32}(μ=0.3549f0, σ=0.7098f0)","LogNormal{Float32}(μ=0.4923f0, σ=0.9846f0)"
0.11666666666666667,3.749096477707822,"LogNormal{Float32}(μ=0.1318f0, σ=0.2636f0)","LogNormal{Float32}(μ=0.1008f0, σ=0.2016f0)"
0.01,4.001780476426163,"LogNormal{Float32}(μ=0.9411f0, σ=1.8822f0)","LogNormal{Float32}(μ=0.8789f0, σ=1.7578f0)"
0.10611111111111111,3.186182509311273,"LogNormal{Float32}(μ=0.0571f0, σ=0.1142f0)","LogNormal{Float32}(μ=0.5901f0, σ=1.1802f0)"
0.006666666666666667,3.6998089194392056,"LogNormal{Float32}(μ=0.2456f0, σ=0.4912f0)","LogNormal{Float32}(μ=0.7659f0, σ=1.5318f0)"
0.0038888888888888888,3.8163928773783846,"LogNormal{Float32}(μ=0.8059f0, σ=1.6118f0)","LogNormal{Float32}(μ=0.3108f0, σ=0.6216f0)"
0.07722222222222222,3.9766513687924534,"LogNormal{Float32}(μ=0.3378f0, σ=0.6756f0)","LogNormal{Float32}(μ=0.0184f0, σ=0.0368f0)"
0.0033333333333333335,3.621364310617921,"LogNormal{Float32}(μ=0.8237f0, σ=1.6474f0)","LogNormal{Float32}(μ=0.1609f0, σ=0.3218f0)"
0.10444444444444445,3.466236722126487,"LogNormal{Float32}(μ=0.4505f0, σ=0.901f0)","LogNormal{Float32}(μ=0.6059f0, σ=1.2118f0)"
0.0016666666666666668,4.096775962795752,"LogNormal{Float32}(μ=0.8914f0, σ=1.7828f0)","LogNormal{Float32}(μ=0.7323f0, σ=1.4646f0)"
0.027777777777777776,3.848836029674276,"LogNormal{Float32}(μ=0.711f0, σ=1.422f0)","LogNormal{Float32}(μ=0.44f0, σ=0.88f0)"
0.0,3.6228620400740246,"LogNormal{Float32}(μ=0.3606f0, σ=0.7212f0)","LogNormal{Float32}(μ=0.9608f0, σ=1.9216f0)"
0.10777777777777778,3.657516028929547,"LogNormal{Float32}(μ=0.2596f0, σ=0.5192f0)","LogNormal{Float32}(μ=0.2996f0, σ=0.5992f0)"
0.09222222222222222,3.5583696137877996,"LogNormal{Float32}(μ=0.39f0, σ=0.78f0)","LogNormal{Float32}(μ=0.6397f0, σ=1.2794f0)"
0.08388888888888889,3.574766596939371,"LogNormal{Float32}(μ=0.4619f0, σ=0.9238f0)","LogNormal{Float32}(μ=0.6609f0, σ=1.3218f0)"
0.0016666666666666668,3.6792749181968167,"LogNormal{Float32}(μ=0.934f0, σ=1.868f0)","LogNormal{Float32}(μ=0.3573f0, σ=0.7146f0)"
0.007222222222222222,3.9475868799020017,"LogNormal{Float32}(μ=0.7533f0, σ=1.5066f0)","LogNormal{Float32}(μ=0.4555f0, σ=0.911f0)"
0.03777777777777778,3.874521761418178,"LogNormal{Float32}(μ=0.7296f0, σ=1.4592f0)","LogNormal{Float32}(μ=0.5193f0, σ=1.0386f0)"
0.11222222222222222,3.737507579257395,"LogNormal{Float32}(μ=0.1624f0, σ=0.3248f0)","LogNormal{Float32}(μ=0.171f0, σ=0.342f0)"
0.11,3.4185579087701625,"LogNormal{Float32}(μ=0.6371f0, σ=1.2742f0)","LogNormal{Float32}(μ=0.652f0, σ=1.304f0)"
0.0016666666666666668,3.308092573427259,"LogNormal{Float32}(μ=0.9914f0, σ=1.9828f0)","LogNormal{Float32}(μ=0.0039f0, σ=0.0078f0)"
0.0,3.757055937947783,"LogNormal{Float32}(μ=0.3835f0, σ=0.767f0)","LogNormal{Float32}(μ=0.8954f0, σ=1.7908f0)"
0.0,3.9069391895734267,"LogNormal{Float32}(μ=0.6182f0, σ=1.2364f0)","LogNormal{Float32}(μ=0.992f0, σ=1.984f0)"
0.11388888888888889,3.360380212881266,"LogNormal{Float32}(μ=0.4843f0, σ=0.9686f0)","LogNormal{Float32}(μ=0.049f0, σ=0.098f0)"
