prob,width,distrX,distrY
0.92388886,59025.28,"Gamma{Float64}(α=6.0, θ=6.0)","Gamma{Float64}(α=1008.0, θ=1001.0)"
0.9344444,60240.848,"Gamma{Float64}(α=6.0, θ=1.0)","Gamma{Float64}(α=1008.0, θ=1010.0)"
0.9227778,59234.94,"Gamma{Float64}(α=9.0, θ=6.0)","Gamma{Float64}(α=1007.0, θ=1007.0)"
0.9405556,60015.223,"Gamma{Float64}(α=2.0, θ=2.0)","Gamma{Float64}(α=1004.0, θ=1010.0)"
0.92333335,58274.9,"Gamma{Float64}(α=6.0, θ=7.0)","Gamma{Float64}(α=1007.0, θ=1007.0)"
0.93666667,58823.938,"Gamma{Float64}(α=4.0, θ=10.0)","Gamma{Float64}(α=1000.0, θ=1001.0)"
0.9311111,59623.848,"Gamma{Float64}(α=1.0, θ=3.0)","Gamma{Float64}(α=1002.0, θ=1010.0)"
0.9311111,59271.67,"Gamma{Float64}(α=10.0, θ=10.0)","Gamma{Float64}(α=1000.0, θ=1003.0)"
0.9261111,59003.637,"Gamma{Float64}(α=6.0, θ=7.0)","Gamma{Float64}(α=1005.0, θ=1006.0)"
0.94166666,59329.4,"Gamma{Float64}(α=4.0, θ=6.0)","Gamma{Float64}(α=1006.0, θ=1009.0)"
0.94666666,59648.06,"Gamma{Float64}(α=6.0, θ=3.0)","Gamma{Float64}(α=1000.0, θ=1006.0)"
0.9355556,59368.58,"Gamma{Float64}(α=9.0, θ=3.0)","Gamma{Float64}(α=1003.0, θ=1010.0)"
0.93777776,59387.844,"Gamma{Float64}(α=1.0, θ=8.0)","Gamma{Float64}(α=1008.0, θ=1009.0)"
0.92777777,58618.043,"Gamma{Float64}(α=5.0, θ=7.0)","Gamma{Float64}(α=1005.0, θ=1003.0)"
0.93,59098.88,"Gamma{Float64}(α=4.0, θ=8.0)","Gamma{Float64}(α=1002.0, θ=1001.0)"
0.94277775,59389.324,"Gamma{Float64}(α=2.0, θ=1.0)","Gamma{Float64}(α=1009.0, θ=1005.0)"
0.9361111,59880.16,"Gamma{Float64}(α=8.0, θ=5.0)","Gamma{Float64}(α=1005.0, θ=1001.0)"
0.94166666,59398.8,"Gamma{Float64}(α=6.0, θ=1.0)","Gamma{Float64}(α=1009.0, θ=1008.0)"
0.935,60199.258,"Gamma{Float64}(α=7.0, θ=1.0)","Gamma{Float64}(α=1008.0, θ=1010.0)"
0.92833334,58909.42,"Gamma{Float64}(α=3.0, θ=1.0)","Gamma{Float64}(α=1009.0, θ=1006.0)"
0.93777776,58915.812,"Gamma{Float64}(α=3.0, θ=10.0)","Gamma{Float64}(α=1002.0, θ=1005.0)"
0.92833334,59304.57,"Gamma{Float64}(α=10.0, θ=7.0)","Gamma{Float64}(α=1009.0, θ=1007.0)"
0.9216667,58853.805,"Gamma{Float64}(α=9.0, θ=7.0)","Gamma{Float64}(α=1000.0, θ=1007.0)"
0.92833334,59451.93,"Gamma{Float64}(α=3.0, θ=8.0)","Gamma{Float64}(α=1010.0, θ=1001.0)"
0.9338889,59535.867,"Gamma{Float64}(α=4.0, θ=8.0)","Gamma{Float64}(α=1005.0, θ=1008.0)"
0.93666667,59533.902,"Gamma{Float64}(α=2.0, θ=1.0)","Gamma{Float64}(α=1000.0, θ=1002.0)"
0.9288889,59638.938,"Gamma{Float64}(α=1.0, θ=7.0)","Gamma{Float64}(α=1001.0, θ=1009.0)"
0.9338889,58817.77,"Gamma{Float64}(α=4.0, θ=10.0)","Gamma{Float64}(α=1001.0, θ=1005.0)"
0.9411111,59379.137,"Gamma{Float64}(α=5.0, θ=1.0)","Gamma{Float64}(α=1009.0, θ=1003.0)"
0.9394444,58830.266,"Gamma{Float64}(α=8.0, θ=1.0)","Gamma{Float64}(α=1009.0, θ=1008.0)"
0.93777776,59965.42,"Gamma{Float64}(α=3.0, θ=6.0)","Gamma{Float64}(α=1009.0, θ=1006.0)"
0.9311111,58594.88,"Gamma{Float64}(α=1.0, θ=6.0)","Gamma{Float64}(α=1007.0, θ=1004.0)"
0.93277776,59309.344,"Gamma{Float64}(α=6.0, θ=7.0)","Gamma{Float64}(α=1009.0, θ=1003.0)"
0.93222225,59791.01,"Gamma{Float64}(α=4.0, θ=9.0)","Gamma{Float64}(α=1007.0, θ=1006.0)"
0.9388889,59320.56,"Gamma{Float64}(α=2.0, θ=2.0)","Gamma{Float64}(α=1005.0, θ=1002.0)"
0.9316667,58773.46,"Gamma{Float64}(α=3.0, θ=3.0)","Gamma{Float64}(α=1003.0, θ=1005.0)"
0.9394444,59670.07,"Gamma{Float64}(α=4.0, θ=10.0)","Gamma{Float64}(α=1004.0, θ=1002.0)"
0.9172222,58423.004,"Gamma{Float64}(α=1.0, θ=4.0)","Gamma{Float64}(α=1001.0, θ=1008.0)"
0.9288889,59506.88,"Gamma{Float64}(α=1.0, θ=5.0)","Gamma{Float64}(α=1001.0, θ=1007.0)"
0.92,59350.89,"Gamma{Float64}(α=10.0, θ=2.0)","Gamma{Float64}(α=1002.0, θ=1008.0)"
0.9433333,59404.22,"Gamma{Float64}(α=4.0, θ=3.0)","Gamma{Float64}(α=1001.0, θ=1007.0)"
0.9361111,58159.613,"Gamma{Float64}(α=8.0, θ=2.0)","Gamma{Float64}(α=1005.0, θ=1002.0)"
0.9316667,58692.676,"Gamma{Float64}(α=4.0, θ=7.0)","Gamma{Float64}(α=1004.0, θ=1004.0)"
0.9361111,58873.67,"Gamma{Float64}(α=9.0, θ=5.0)","Gamma{Float64}(α=1001.0, θ=1000.0)"
0.93222225,59485.72,"Gamma{Float64}(α=3.0, θ=1.0)","Gamma{Float64}(α=1002.0, θ=1004.0)"
0.93777776,59824.25,"Gamma{Float64}(α=10.0, θ=6.0)","Gamma{Float64}(α=1009.0, θ=1009.0)"
0.9266667,59470.426,"Gamma{Float64}(α=9.0, θ=2.0)","Gamma{Float64}(α=1000.0, θ=1005.0)"
0.9438889,59501.11,"Gamma{Float64}(α=8.0, θ=10.0)","Gamma{Float64}(α=1000.0, θ=1008.0)"
0.9288889,59307.023,"Gamma{Float64}(α=2.0, θ=9.0)","Gamma{Float64}(α=1004.0, θ=1010.0)"
0.93333334,59868.375,"Gamma{Float64}(α=6.0, θ=10.0)","Gamma{Float64}(α=1009.0, θ=1000.0)"
0.9311111,59360.8,"Gamma{Float64}(α=9.0, θ=5.0)","Gamma{Float64}(α=1006.0, θ=1003.0)"
0.9255555,59472.88,"Gamma{Float64}(α=3.0, θ=7.0)","Gamma{Float64}(α=1003.0, θ=1009.0)"
0.9388889,60339.29,"Gamma{Float64}(α=9.0, θ=7.0)","Gamma{Float64}(α=1005.0, θ=1000.0)"
0.92388886,59256.977,"Gamma{Float64}(α=4.0, θ=7.0)","Gamma{Float64}(α=1001.0, θ=1006.0)"
0.935,59180.188,"Gamma{Float64}(α=7.0, θ=5.0)","Gamma{Float64}(α=1007.0, θ=1005.0)"
0.93666667,59528.188,"Gamma{Float64}(α=10.0, θ=6.0)","Gamma{Float64}(α=1008.0, θ=1002.0)"
0.93777776,59394.152,"Gamma{Float64}(α=8.0, θ=8.0)","Gamma{Float64}(α=1010.0, θ=1000.0)"
0.93722224,59443.98,"Gamma{Float64}(α=7.0, θ=8.0)","Gamma{Float64}(α=1007.0, θ=1001.0)"
0.9355556,60099.344,"Gamma{Float64}(α=9.0, θ=10.0)","Gamma{Float64}(α=1010.0, θ=1001.0)"
0.93833333,59564.76,"Gamma{Float64}(α=5.0, θ=8.0)","Gamma{Float64}(α=1008.0, θ=1010.0)"
0.92444444,58700.58,"Gamma{Float64}(α=5.0, θ=2.0)","Gamma{Float64}(α=1007.0, θ=1007.0)"
0.9311111,59539.465,"Gamma{Float64}(α=2.0, θ=7.0)","Gamma{Float64}(α=1009.0, θ=1006.0)"
0.9388889,60084.336,"Gamma{Float64}(α=6.0, θ=2.0)","Gamma{Float64}(α=1002.0, θ=1009.0)"
0.93277776,59235.086,"Gamma{Float64}(α=6.0, θ=10.0)","Gamma{Float64}(α=1009.0, θ=1001.0)"
0.9438889,59402.418,"Gamma{Float64}(α=5.0, θ=5.0)","Gamma{Float64}(α=1002.0, θ=1001.0)"
0.93277776,58786.93,"Gamma{Float64}(α=9.0, θ=2.0)","Gamma{Float64}(α=1005.0, θ=1004.0)"
0.93,59541.65,"Gamma{Float64}(α=6.0, θ=1.0)","Gamma{Float64}(α=1009.0, θ=1009.0)"
0.9288889,58249.35,"Gamma{Float64}(α=9.0, θ=4.0)","Gamma{Float64}(α=1001.0, θ=1001.0)"
0.935,58851.184,"Gamma{Float64}(α=6.0, θ=7.0)","Gamma{Float64}(α=1002.0, θ=1001.0)"
0.93277776,58752.996,"Gamma{Float64}(α=8.0, θ=3.0)","Gamma{Float64}(α=1001.0, θ=1009.0)"
0.94666666,60141.703,"Gamma{Float64}(α=1.0, θ=3.0)","Gamma{Float64}(α=1009.0, θ=1009.0)"
0.9311111,59329.41,"Gamma{Float64}(α=10.0, θ=10.0)","Gamma{Float64}(α=1007.0, θ=1004.0)"
0.9305556,58937.527,"Gamma{Float64}(α=9.0, θ=2.0)","Gamma{Float64}(α=1007.0, θ=1007.0)"
0.93666667,58700.836,"Gamma{Float64}(α=8.0, θ=3.0)","Gamma{Float64}(α=1000.0, θ=1005.0)"
0.935,58883.637,"Gamma{Float64}(α=8.0, θ=2.0)","Gamma{Float64}(α=1008.0, θ=1001.0)"
0.9344444,59819.254,"Gamma{Float64}(α=7.0, θ=7.0)","Gamma{Float64}(α=1001.0, θ=1010.0)"
0.9344444,58957.086,"Gamma{Float64}(α=5.0, θ=6.0)","Gamma{Float64}(α=1002.0, θ=1004.0)"
0.9227778,58858.027,"Gamma{Float64}(α=1.0, θ=4.0)","Gamma{Float64}(α=1002.0, θ=1008.0)"
0.9305556,58569.56,"Gamma{Float64}(α=7.0, θ=1.0)","Gamma{Float64}(α=1001.0, θ=1007.0)"
0.93777776,59399.066,"Gamma{Float64}(α=8.0, θ=9.0)","Gamma{Float64}(α=1005.0, θ=1006.0)"
0.9288889,58613.582,"Gamma{Float64}(α=10.0, θ=6.0)","Gamma{Float64}(α=1004.0, θ=1005.0)"
0.9355556,59294.773,"Gamma{Float64}(α=2.0, θ=9.0)","Gamma{Float64}(α=1004.0, θ=1006.0)"
0.9338889,59432.88,"Gamma{Float64}(α=2.0, θ=2.0)","Gamma{Float64}(α=1008.0, θ=1007.0)"
0.9355556,58615.926,"Gamma{Float64}(α=1.0, θ=10.0)","Gamma{Float64}(α=1000.0, θ=1001.0)"
0.93833333,59829.785,"Gamma{Float64}(α=1.0, θ=8.0)","Gamma{Float64}(α=1006.0, θ=1008.0)"
0.9316667,59337.72,"Gamma{Float64}(α=7.0, θ=9.0)","Gamma{Float64}(α=1010.0, θ=1009.0)"
0.93833333,59255.207,"Gamma{Float64}(α=7.0, θ=10.0)","Gamma{Float64}(α=1008.0, θ=1002.0)"
0.9311111,59745.055,"Gamma{Float64}(α=3.0, θ=2.0)","Gamma{Float64}(α=1010.0, θ=1008.0)"
0.9338889,58948.277,"Gamma{Float64}(α=7.0, θ=7.0)","Gamma{Float64}(α=1007.0, θ=1003.0)"
0.9266667,58927.06,"Gamma{Float64}(α=4.0, θ=7.0)","Gamma{Float64}(α=1008.0, θ=1006.0)"
0.93222225,59859.0,"Gamma{Float64}(α=8.0, θ=2.0)","Gamma{Float64}(α=1009.0, θ=1003.0)"
0.9305556,59482.098,"Gamma{Float64}(α=9.0, θ=1.0)","Gamma{Float64}(α=1008.0, θ=1008.0)"
0.92833334,59885.477,"Gamma{Float64}(α=7.0, θ=1.0)","Gamma{Float64}(α=1002.0, θ=1007.0)"
0.9305556,59305.535,"Gamma{Float64}(α=1.0, θ=8.0)","Gamma{Float64}(α=1006.0, θ=1010.0)"
0.9355556,59329.297,"Gamma{Float64}(α=2.0, θ=7.0)","Gamma{Float64}(α=1008.0, θ=1002.0)"
0.94277775,58456.457,"Gamma{Float64}(α=2.0, θ=5.0)","Gamma{Float64}(α=1002.0, θ=1007.0)"
0.9211111,58369.266,"Gamma{Float64}(α=8.0, θ=6.0)","Gamma{Float64}(α=1003.0, θ=1007.0)"
0.94222224,60227.77,"Gamma{Float64}(α=9.0, θ=5.0)","Gamma{Float64}(α=1010.0, θ=1006.0)"
0.9316667,59278.99,"Gamma{Float64}(α=2.0, θ=2.0)","Gamma{Float64}(α=1010.0, θ=1003.0)"
0.92777777,59836.69,"Gamma{Float64}(α=8.0, θ=3.0)","Gamma{Float64}(α=1006.0, θ=1006.0)"
