prob,width,distrX,distrY
0.9066667,35.776093,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=3.0, θ=12.0)"
0.85888886,24.679276,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.8888889,59.28975,"Gamma{Float64}(α=5.0, θ=20.0)","Gamma{Float64}(α=3.0, θ=12.0)"
0.9033333,6.643051,"Gamma{Float64}(α=1.0, θ=4.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.9,46.236908,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.87222224,55.670696,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=5.0, θ=20.0)"
0.8761111,14.079197,"Gamma{Float64}(α=1.0, θ=4.0)","Gamma{Float64}(α=2.0, θ=8.0)"
0.8888889,78.258385,"Gamma{Float64}(α=5.0, θ=20.0)","Gamma{Float64}(α=5.0, θ=20.0)"
0.89666665,46.271328,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.88222224,28.76648,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=3.0, θ=12.0)"
0.87333333,28.460117,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=2.0, θ=8.0)"
0.8927778,55.25492,"Gamma{Float64}(α=5.0, θ=20.0)","Gamma{Float64}(α=2.0, θ=8.0)"
0.86388886,38.454247,"Gamma{Float64}(α=1.0, θ=4.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.89111114,46.70088,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.87666667,40.536793,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.8972222,6.697089,"Gamma{Float64}(α=1.0, θ=4.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.9077778,46.636963,"Gamma{Float64}(α=4.0, θ=16.0)","Gamma{Float64}(α=3.0, θ=12.0)"
0.86777776,24.814732,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.8761111,37.748066,"Gamma{Float64}(α=4.0, θ=16.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.855,14.101965,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.88055557,54.784153,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=5.0, θ=20.0)"
0.9038889,66.96851,"Gamma{Float64}(α=5.0, θ=20.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.8972222,67.3439,"Gamma{Float64}(α=5.0, θ=20.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.8833333,40.55749,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.8788889,40.79643,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.8938889,6.575066,"Gamma{Float64}(α=1.0, θ=4.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.8655556,38.30814,"Gamma{Float64}(α=1.0, θ=4.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.865,54.141476,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=5.0, θ=20.0)"
0.8738889,24.689054,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.87166667,37.98768,"Gamma{Float64}(α=4.0, θ=16.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.8933333,28.363968,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=3.0, θ=12.0)"
0.8711111,24.96352,"Gamma{Float64}(α=1.0, θ=4.0)","Gamma{Float64}(α=3.0, θ=12.0)"
0.89111114,46.485348,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.87333333,55.13748,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=5.0, θ=20.0)"
0.90944445,6.7605143,"Gamma{Float64}(α=1.0, θ=4.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.905,19.271551,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=2.0, θ=8.0)"
0.88055557,55.27526,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=5.0, θ=20.0)"
0.88166666,14.171701,"Gamma{Float64}(α=1.0, θ=4.0)","Gamma{Float64}(α=2.0, θ=8.0)"
0.86833334,25.064137,"Gamma{Float64}(α=1.0, θ=4.0)","Gamma{Float64}(α=3.0, θ=12.0)"
0.8666667,53.500828,"Gamma{Float64}(α=5.0, θ=20.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.90833336,19.109354,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=2.0, θ=8.0)"
0.8755556,38.319904,"Gamma{Float64}(α=4.0, θ=16.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.88722223,41.060143,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.87666667,60.085434,"Gamma{Float64}(α=5.0, θ=20.0)","Gamma{Float64}(α=3.0, θ=12.0)"
0.87333333,13.903247,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.88611114,59.497597,"Gamma{Float64}(α=5.0, θ=20.0)","Gamma{Float64}(α=3.0, θ=12.0)"
0.8661111,53.46626,"Gamma{Float64}(α=5.0, θ=20.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.9022222,67.44797,"Gamma{Float64}(α=4.0, θ=16.0)","Gamma{Float64}(α=5.0, θ=20.0)"
0.8655556,53.139652,"Gamma{Float64}(α=1.0, θ=4.0)","Gamma{Float64}(α=5.0, θ=20.0)"
0.885,59.499886,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=5.0, θ=20.0)"
0.90055555,59.42369,"Gamma{Float64}(α=5.0, θ=20.0)","Gamma{Float64}(α=3.0, θ=12.0)"
0.87777776,40.541454,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.8938889,67.41357,"Gamma{Float64}(α=5.0, θ=20.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.8666667,40.578667,"Gamma{Float64}(α=2.0, θ=8.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.915,46.237255,"Gamma{Float64}(α=4.0, θ=16.0)","Gamma{Float64}(α=3.0, θ=12.0)"
0.88611114,59.826492,"Gamma{Float64}(α=5.0, θ=20.0)","Gamma{Float64}(α=3.0, θ=12.0)"
0.9116667,55.596214,"Gamma{Float64}(α=4.0, θ=16.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.9077778,55.7625,"Gamma{Float64}(α=4.0, θ=16.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.8983333,78.23793,"Gamma{Float64}(α=5.0, θ=20.0)","Gamma{Float64}(α=5.0, θ=20.0)"
0.9022222,46.847057,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.8622222,25.074583,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.865,37.976837,"Gamma{Float64}(α=1.0, θ=4.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.87666667,25.243246,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.8838889,59.18697,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=5.0, θ=20.0)"
0.91555554,35.740192,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=3.0, θ=12.0)"
0.8511111,53.099663,"Gamma{Float64}(α=5.0, θ=20.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.8755556,24.959589,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=1.0, θ=4.0)"
0.88277775,55.277813,"Gamma{Float64}(α=5.0, θ=20.0)","Gamma{Float64}(α=2.0, θ=8.0)"
0.89111114,46.444626,"Gamma{Float64}(α=3.0, θ=12.0)","Gamma{Float64}(α=4.0, θ=16.0)"
0.8811111,41.111885,"Gamma{Float64}(α=4.0, θ=16.0)","Gamma{Float64}(α=2.0, θ=8.0)"
