prob,width,distrX,distrY
0.9,3.190407323161939,"Normal{Float32}(μ=0.906f0, σ=1.812f0)","Normal{Float32}(μ=5.906f0, σ=1.812f0)"
0.8933333333333333,1.5502733808778613,"Normal{Float32}(μ=0.443f0, σ=0.886f0)","Normal{Float32}(μ=5.443f0, σ=0.886f0)"
0.8944444444444445,2.586856261654738,"Normal{Float32}(μ=0.746f0, σ=1.492f0)","Normal{Float32}(μ=5.746f0, σ=1.492f0)"
0.8977777777777778,1.7984253204964482,"Normal{Float32}(μ=0.512f0, σ=1.024f0)","Normal{Float32}(μ=5.512f0, σ=1.024f0)"
0.9033333333333333,0.8845411716270898,"Normal{Float32}(μ=0.254f0, σ=0.508f0)","Normal{Float32}(μ=5.254f0, σ=0.508f0)"
0.9066666666666666,1.1652342112942389,"Normal{Float32}(μ=0.334f0, σ=0.668f0)","Normal{Float32}(μ=5.334f0, σ=0.668f0)"
0.9061111111111111,1.5018297320087677,"Normal{Float32}(μ=0.427f0, σ=0.854f0)","Normal{Float32}(μ=5.427f0, σ=0.854f0)"
0.9133333333333333,3.0415582897530498,"Normal{Float32}(μ=0.868f0, σ=1.736f0)","Normal{Float32}(μ=5.868f0, σ=1.736f0)"
0.8994444444444445,0.34881246813821754,"Normal{Float32}(μ=0.099f0, σ=0.198f0)","Normal{Float32}(μ=5.099f0, σ=0.198f0)"
0.9027777777777778,0.43850844543596484,"Normal{Float32}(μ=0.125f0, σ=0.25f0)","Normal{Float32}(μ=5.125f0, σ=0.25f0)"
0.8977777777777778,2.4090200991227397,"Normal{Float32}(μ=0.692f0, σ=1.384f0)","Normal{Float32}(μ=5.692f0, σ=1.384f0)"
0.91,0.4773889808405507,"Normal{Float32}(μ=0.137f0, σ=0.274f0)","Normal{Float32}(μ=5.137f0, σ=0.274f0)"
0.92,0.11168079099231909,"Normal{Float32}(μ=0.032f0, σ=0.064f0)","Normal{Float32}(μ=5.032f0, σ=0.064f0)"
0.8988888888888888,1.2301685945009013,"Normal{Float32}(μ=0.351f0, σ=0.702f0)","Normal{Float32}(μ=5.351f0, σ=0.702f0)"
0.9016666666666666,3.260243727199742,"Normal{Float32}(μ=0.93f0, σ=1.86f0)","Normal{Float32}(μ=5.93f0, σ=1.86f0)"
0.9038888888888889,3.3425098595159635,"Normal{Float32}(μ=0.959f0, σ=1.918f0)","Normal{Float32}(μ=5.959f0, σ=1.918f0)"
0.8894444444444445,2.730325572156902,"Normal{Float32}(μ=0.774f0, σ=1.548f0)","Normal{Float32}(μ=5.774f0, σ=1.548f0)"
0.9111111111111111,0.6495942726264742,"Normal{Float32}(μ=0.184f0, σ=0.368f0)","Normal{Float32}(μ=5.184f0, σ=0.368f0)"
0.9055555555555556,1.0344816147815925,"Normal{Float32}(μ=0.297f0, σ=0.594f0)","Normal{Float32}(μ=5.297f0, σ=0.594f0)"
0.9055555555555556,0.5252746856744019,"Normal{Float32}(μ=0.15f0, σ=0.3f0)","Normal{Float32}(μ=5.15f0, σ=0.3f0)"
0.9027777777777778,3.1378303761250472,"Normal{Float32}(μ=0.894f0, σ=1.788f0)","Normal{Float32}(μ=5.894f0, σ=1.788f0)"
0.8994444444444445,1.2425383176792077,"Normal{Float32}(μ=0.355f0, σ=0.71f0)","Normal{Float32}(μ=5.355f0, σ=0.71f0)"
0.9222222222222223,0.4639666544727492,"Normal{Float32}(μ=0.132f0, σ=0.264f0)","Normal{Float32}(μ=5.132f0, σ=0.264f0)"
0.895,3.266443331687798,"Normal{Float32}(μ=0.941f0, σ=1.882f0)","Normal{Float32}(μ=5.941f0, σ=1.882f0)"
0.9144444444444444,0.19803992021692118,"Normal{Float32}(μ=0.057f0, σ=0.114f0)","Normal{Float32}(μ=5.057f0, σ=0.114f0)"
0.895,0.8607086332338533,"Normal{Float32}(μ=0.246f0, σ=0.492f0)","Normal{Float32}(μ=5.246f0, σ=0.492f0)"
0.8988888888888888,2.8113214758495793,"Normal{Float32}(μ=0.806f0, σ=1.612f0)","Normal{Float32}(μ=5.8059998f0, σ=1.612f0)"
0.9055555555555556,1.1773736488582365,"Normal{Float32}(μ=0.338f0, σ=0.676f0)","Normal{Float32}(μ=5.338f0, σ=0.676f0)"
0.8972222222222223,2.8824912171051045,"Normal{Float32}(μ=0.824f0, σ=1.648f0)","Normal{Float32}(μ=5.824f0, σ=1.648f0)"
0.9038888888888889,1.564464096757698,"Normal{Float32}(μ=0.45f0, σ=0.9f0)","Normal{Float32}(μ=5.45f0, σ=0.9f0)"
0.9016666666666666,3.095831291319244,"Normal{Float32}(μ=0.891f0, σ=1.782f0)","Normal{Float32}(μ=5.891f0, σ=1.782f0)"
0.8944444444444445,2.4995138475854097,"Normal{Float32}(μ=0.711f0, σ=1.422f0)","Normal{Float32}(μ=5.711f0, σ=1.422f0)"
0.8922222222222222,1.2514601826168226,"Normal{Float32}(μ=0.361f0, σ=0.722f0)","Normal{Float32}(μ=5.361f0, σ=0.722f0)"
0.9033333333333333,0.911968906938152,"Normal{Float32}(μ=0.26f0, σ=0.52f0)","Normal{Float32}(μ=5.26f0, σ=0.52f0)"
0.9066666666666666,1.3577609808315332,"Normal{Float32}(μ=0.39f0, σ=0.78f0)","Normal{Float32}(μ=5.39f0, σ=0.78f0)"
0.9011111111111111,1.6180420779913978,"Normal{Float32}(μ=0.462f0, σ=0.924f0)","Normal{Float32}(μ=5.462f0, σ=0.924f0)"
0.8966666666666666,3.249111124312648,"Normal{Float32}(μ=0.934f0, σ=1.868f0)","Normal{Float32}(μ=5.934f0, σ=1.868f0)"
0.9033333333333333,2.638009227065484,"Normal{Float32}(μ=0.753f0, σ=1.506f0)","Normal{Float32}(μ=5.7530003f0, σ=1.506f0)"
0.905,2.542102331158959,"Normal{Float32}(μ=0.73f0, σ=1.46f0)","Normal{Float32}(μ=5.73f0, σ=1.46f0)"
0.8872222222222222,0.5620251630219036,"Normal{Float32}(μ=0.162f0, σ=0.324f0)","Normal{Float32}(μ=5.162f0, σ=0.324f0)"
0.9088888888888889,2.2360501184726393,"Normal{Float32}(μ=0.637f0, σ=1.274f0)","Normal{Float32}(μ=5.637f0, σ=1.274f0)"
0.905,3.4558451259109773,"Normal{Float32}(μ=0.991f0, σ=1.982f0)","Normal{Float32}(μ=5.991f0, σ=1.982f0)"
0.905,1.334451668646577,"Normal{Float32}(μ=0.384f0, σ=0.768f0)","Normal{Float32}(μ=5.384f0, σ=0.768f0)"
0.9011111111111111,2.161739505881655,"Normal{Float32}(μ=0.618f0, σ=1.236f0)","Normal{Float32}(μ=5.618f0, σ=1.236f0)"
0.9161111111111111,1.6845195782662141,"Normal{Float32}(μ=0.484f0, σ=0.968f0)","Normal{Float32}(μ=5.484f0, σ=0.968f0)"
0.9072222222222223,2.1066480573821855,"Normal{Float32}(μ=0.6f0, σ=1.2f0)","Normal{Float32}(μ=5.6f0, σ=1.2f0)"
0.9,1.5851397475080913,"Normal{Float32}(μ=0.454f0, σ=0.908f0)","Normal{Float32}(μ=5.454f0, σ=0.908f0)"
0.8927777777777778,1.135921673358515,"Normal{Float32}(μ=0.325f0, σ=0.65f0)","Normal{Float32}(μ=5.325f0, σ=0.65f0)"
0.9105555555555556,1.790243345435526,"Normal{Float32}(μ=0.51f0, σ=1.02f0)","Normal{Float32}(μ=5.51f0, σ=1.02f0)"
0.9116666666666666,2.289165289121076,"Normal{Float32}(μ=0.656f0, σ=1.312f0)","Normal{Float32}(μ=5.656f0, σ=1.312f0)"
0.9066666666666666,3.0156698724788114,"Normal{Float32}(μ=0.87f0, σ=1.74f0)","Normal{Float32}(μ=5.87f0, σ=1.74f0)"
0.8994444444444445,1.3005283959037632,"Normal{Float32}(μ=0.373f0, σ=0.746f0)","Normal{Float32}(μ=5.373f0, σ=0.746f0)"
0.8966666666666666,2.410201026314963,"Normal{Float32}(μ=0.692f0, σ=1.384f0)","Normal{Float32}(μ=5.692f0, σ=1.384f0)"
0.9111111111111111,2.6086793853085934,"Normal{Float32}(μ=0.747f0, σ=1.494f0)","Normal{Float32}(μ=5.7469997f0, σ=1.494f0)"
