prob,width,distrX,distrY
0.8961111111111111,3.2768330555173355,"Normal{Float32}(μ=0.9063f0, σ=1.8126f0)","Normal{Float32}(μ=0.9542f0, σ=1.9084f0)"
0.8794444444444445,2.3457755015921773,"Normal{Float32}(μ=0.4435f0, σ=0.887f0)","Normal{Float32}(μ=0.8459f0, σ=1.6918f0)"
0.8977777777777778,2.3216789950408914,"Normal{Float32}(μ=0.7457f0, σ=1.4914f0)","Normal{Float32}(μ=0.5867f0, σ=1.1734f0)"
0.8805555555555555,1.284377223820508,"Normal{Float32}(μ=0.5121f0, σ=1.0242f0)","Normal{Float32}(μ=0.1218f0, σ=0.2436f0)"
0.9044444444444445,0.70428965754405,"Normal{Float32}(μ=0.2538f0, σ=0.5076f0)","Normal{Float32}(μ=0.1378f0, σ=0.2756f0)"
0.8805555555555555,0.8193356799985958,"Normal{Float32}(μ=0.3342f0, σ=0.6684f0)","Normal{Float32}(μ=0.0508f0, σ=0.1016f0)"
0.9055555555555556,1.4316239992594446,"Normal{Float32}(μ=0.4273f0, σ=0.8546f0)","Normal{Float32}(μ=0.3864f0, σ=0.7728f0)"
0.9133333333333333,3.0035728904580963,"Normal{Float32}(μ=0.8675f0, σ=1.735f0)","Normal{Float32}(μ=0.8465f0, σ=1.693f0)"
0.8944444444444445,0.3948315068909223,"Normal{Float32}(μ=0.0991f0, σ=0.1982f0)","Normal{Float32}(μ=0.1235f0, σ=0.247f0)"
0.88,1.8235948997208231,"Normal{Float32}(μ=0.1253f0, σ=0.2506f0)","Normal{Float32}(μ=0.74f0, σ=1.48f0)"
0.8977777777777778,2.4331064600158636,"Normal{Float32}(μ=0.6922f0, σ=1.3844f0)","Normal{Float32}(μ=0.7057f0, σ=1.4114f0)"
0.8805555555555555,2.4149182454735905,"Normal{Float32}(μ=0.1366f0, σ=0.2732f0)","Normal{Float32}(μ=0.992f0, σ=1.984f0)"
0.8911111111111111,1.7964905707063579,"Normal{Float32}(μ=0.0321f0, σ=0.0642f0)","Normal{Float32}(μ=0.7408f0, σ=1.4816f0)"
0.9033333333333333,1.0349815661712625,"Normal{Float32}(μ=0.3505f0, σ=0.701f0)","Normal{Float32}(μ=0.229f0, σ=0.458f0)"
0.9011111111111111,3.3296437922256366,"Normal{Float32}(μ=0.9303f0, σ=1.8606f0)","Normal{Float32}(μ=0.9692f0, σ=1.9384f0)"
0.9016666666666666,2.6996688062886136,"Normal{Float32}(μ=0.9594f0, σ=1.9188f0)","Normal{Float32}(μ=0.5405f0, σ=1.081f0)"
0.8877777777777778,2.5005601057004867,"Normal{Float32}(μ=0.7741f0, σ=1.5482f0)","Normal{Float32}(μ=0.6397f0, σ=1.2794f0)"
0.9116666666666666,0.7296930382013714,"Normal{Float32}(μ=0.1836f0, σ=0.3672f0)","Normal{Float32}(μ=0.2277f0, σ=0.4554f0)"
0.905,0.9853730748185657,"Normal{Float32}(μ=0.297f0, σ=0.594f0)","Normal{Float32}(μ=0.2678f0, σ=0.5356f0)"
0.8811111111111111,2.0627005922099997,"Normal{Float32}(μ=0.1502f0, σ=0.3004f0)","Normal{Float32}(μ=0.831f0, σ=1.662f0)"
0.8961111111111111,2.7465473858180567,"Normal{Float32}(μ=0.8935f0, σ=1.787f0)","Normal{Float32}(μ=0.6561f0, σ=1.3122f0)"
0.8961111111111111,1.5030469969816709,"Normal{Float32}(μ=0.3549f0, σ=0.7098f0)","Normal{Float32}(μ=0.4923f0, σ=0.9846f0)"
0.9138888888888889,0.4114201790477118,"Normal{Float32}(μ=0.1318f0, σ=0.2636f0)","Normal{Float32}(μ=0.1008f0, σ=0.2016f0)"
0.8966666666666666,3.1607490408377896,"Normal{Float32}(μ=0.9411f0, σ=1.8822f0)","Normal{Float32}(μ=0.8789f0, σ=1.7578f0)"
0.8761111111111111,1.4169416597170708,"Normal{Float32}(μ=0.0571f0, σ=0.1142f0)","Normal{Float32}(μ=0.5901f0, σ=1.1802f0)"
0.8927777777777778,1.959528406741338,"Normal{Float32}(μ=0.2456f0, σ=0.4912f0)","Normal{Float32}(μ=0.7659f0, σ=1.5318f0)"
0.8888888888888888,2.1019417790055197,"Normal{Float32}(μ=0.8059f0, σ=1.6118f0)","Normal{Float32}(μ=0.3108f0, σ=0.6216f0)"
0.8911111111111111,0.8155008162652302,"Normal{Float32}(μ=0.3378f0, σ=0.6756f0)","Normal{Float32}(μ=0.0184f0, σ=0.0368f0)"
0.8744444444444445,2.0217897597793852,"Normal{Float32}(μ=0.8237f0, σ=1.6474f0)","Normal{Float32}(μ=0.1609f0, σ=0.3218f0)"
0.8983333333333333,1.85227872692089,"Normal{Float32}(μ=0.4505f0, σ=0.901f0)","Normal{Float32}(μ=0.6059f0, σ=1.2118f0)"
0.8983333333333333,2.8299385984174528,"Normal{Float32}(μ=0.8914f0, σ=1.7828f0)","Normal{Float32}(μ=0.7323f0, σ=1.4646f0)"
0.8944444444444445,2.069397661621461,"Normal{Float32}(μ=0.711f0, σ=1.422f0)","Normal{Float32}(μ=0.44f0, σ=0.88f0)"
0.8838888888888888,2.4929788061744773,"Normal{Float32}(μ=0.3606f0, σ=0.7212f0)","Normal{Float32}(μ=0.9608f0, σ=1.9216f0)"
0.9033333333333333,0.9821358954895069,"Normal{Float32}(μ=0.2596f0, σ=0.5192f0)","Normal{Float32}(μ=0.2996f0, σ=0.5992f0)"
0.9033333333333333,1.83419270388455,"Normal{Float32}(μ=0.39f0, σ=0.78f0)","Normal{Float32}(μ=0.6397f0, σ=1.2794f0)"
0.9055555555555556,1.998539689138632,"Normal{Float32}(μ=0.4619f0, σ=0.9238f0)","Normal{Float32}(μ=0.6609f0, σ=1.3218f0)"
0.8711111111111111,2.4198686561946987,"Normal{Float32}(μ=0.934f0, σ=1.868f0)","Normal{Float32}(μ=0.3573f0, σ=0.7146f0)"
0.8994444444444445,2.1786769504990167,"Normal{Float32}(μ=0.7533f0, σ=1.5066f0)","Normal{Float32}(μ=0.4555f0, σ=0.911f0)"
0.9044444444444445,2.1983178128029714,"Normal{Float32}(μ=0.7296f0, σ=1.4592f0)","Normal{Float32}(μ=0.5193f0, σ=1.0386f0)"
0.8883333333333333,0.5785127661456345,"Normal{Float32}(μ=0.1624f0, σ=0.3248f0)","Normal{Float32}(μ=0.171f0, σ=0.342f0)"
0.9066666666666666,2.262963616994479,"Normal{Float32}(μ=0.6371f0, σ=1.2742f0)","Normal{Float32}(μ=0.652f0, σ=1.304f0)"
0.8838888888888888,2.4062396115097697,"Normal{Float32}(μ=0.9914f0, σ=1.9828f0)","Normal{Float32}(μ=0.0039f0, σ=0.0078f0)"
0.8911111111111111,2.360620134277135,"Normal{Float32}(μ=0.3835f0, σ=0.767f0)","Normal{Float32}(μ=0.8954f0, σ=1.7908f0)"
0.8933333333333333,2.874574990446735,"Normal{Float32}(μ=0.6182f0, σ=1.2364f0)","Normal{Float32}(μ=0.992f0, σ=1.984f0)"
0.8855555555555555,1.1703832649146109,"Normal{Float32}(μ=0.4843f0, σ=0.9686f0)","Normal{Float32}(μ=0.049f0, σ=0.098f0)"
0.9066666666666666,2.277627649334248,"Normal{Float32}(μ=0.5997f0, σ=1.1994f0)","Normal{Float32}(μ=0.6951f0, σ=1.3902f0)"
0.9022222222222223,1.3662822317497396,"Normal{Float32}(μ=0.4537f0, σ=0.9074f0)","Normal{Float32}(μ=0.3195f0, σ=0.639f0)"
0.8694444444444445,0.8131974379614012,"Normal{Float32}(μ=0.3249f0, σ=0.6498f0)","Normal{Float32}(μ=0.0842f0, σ=0.1684f0)"
0.8994444444444445,2.5910935385180456,"Normal{Float32}(μ=0.51f0, σ=1.02f0)","Normal{Float32}(μ=0.9168f0, σ=1.8336f0)"
