prob,width,distrX,distrY
0.8988888888888888,3.1861104920280927,"Normal{Float32}(μ=0.9063f0, σ=1.8126f0)","Normal{Float32}(μ=2.9063f0, σ=1.8126f0)"
0.8922222222222222,1.5507261847381308,"Normal{Float32}(μ=0.4435f0, σ=0.887f0)","Normal{Float32}(μ=2.4435f0, σ=0.887f0)"
0.895,2.5838177148487773,"Normal{Float32}(μ=0.7457f0, σ=1.4914f0)","Normal{Float32}(μ=2.7457f0, σ=1.4914f0)"
0.8977777777777778,1.7966678822874693,"Normal{Float32}(μ=0.5121f0, σ=1.0242f0)","Normal{Float32}(μ=2.5121f0, σ=1.0242f0)"
0.9,0.8825555824638842,"Normal{Float32}(μ=0.2538f0, σ=0.5076f0)","Normal{Float32}(μ=2.2538f0, σ=0.5076f0)"
0.9066666666666666,1.1640191302507945,"Normal{Float32}(μ=0.3342f0, σ=0.6684f0)","Normal{Float32}(μ=2.3342f0, σ=0.6684f0)"
0.9038888888888889,1.5010180655531078,"Normal{Float32}(μ=0.4273f0, σ=0.8546f0)","Normal{Float32}(μ=2.4273f0, σ=0.8546f0)"
0.9138888888888889,3.0357986452013015,"Normal{Float32}(μ=0.8675f0, σ=1.735f0)","Normal{Float32}(μ=2.8675f0, σ=1.735f0)"
0.9,0.3485941587871998,"Normal{Float32}(μ=0.0991f0, σ=0.1982f0)","Normal{Float32}(μ=2.0991f0, σ=0.1982f0)"
0.9022222222222223,0.4389064647620181,"Normal{Float32}(μ=0.1253f0, σ=0.2506f0)","Normal{Float32}(μ=2.1253f0, σ=0.2506f0)"
0.8977777777777778,2.4071129137719285,"Normal{Float32}(μ=0.6922f0, σ=1.3844f0)","Normal{Float32}(μ=2.6922f0, σ=1.3844f0)"
0.9111111111111111,0.4756818674607938,"Normal{Float32}(μ=0.1366f0, σ=0.2732f0)","Normal{Float32}(μ=2.1366f0, σ=0.2732f0)"
0.9205555555555556,0.11187688876989482,"Normal{Float32}(μ=0.0321f0, σ=0.0642f0)","Normal{Float32}(μ=2.0321f0, σ=0.0642f0)"
0.8988888888888888,1.2264666722956095,"Normal{Float32}(μ=0.3505f0, σ=0.701f0)","Normal{Float32}(μ=2.3505f0, σ=0.701f0)"
0.9016666666666666,3.2577876920057895,"Normal{Float32}(μ=0.9303f0, σ=1.8606f0)","Normal{Float32}(μ=2.9303f0, σ=1.8606f0)"
0.9033333333333333,3.3400349688142503,"Normal{Float32}(μ=0.9594f0, σ=1.9188f0)","Normal{Float32}(μ=2.9594f0, σ=1.9188f0)"
0.8877777777777778,2.7272443454574833,"Normal{Float32}(μ=0.7741f0, σ=1.5482f0)","Normal{Float32}(μ=2.7741f0, σ=1.5482f0)"
0.91,0.6472849412408963,"Normal{Float32}(μ=0.1836f0, σ=0.3672f0)","Normal{Float32}(μ=2.1836f0, σ=0.3672f0)"
0.9055555555555556,1.0324632387209338,"Normal{Float32}(μ=0.297f0, σ=0.594f0)","Normal{Float32}(μ=2.297f0, σ=0.594f0)"
0.9038888888888889,0.5254527277900628,"Normal{Float32}(μ=0.1502f0, σ=0.3004f0)","Normal{Float32}(μ=2.1502f0, σ=0.3004f0)"
0.9022222222222223,3.1316398419713094,"Normal{Float32}(μ=0.8935f0, σ=1.787f0)","Normal{Float32}(μ=2.8934999f0, σ=1.787f0)"
0.8972222222222223,1.2402598619262684,"Normal{Float32}(μ=0.3549f0, σ=0.7098f0)","Normal{Float32}(μ=2.3549f0, σ=0.7098f0)"
0.9216666666666666,0.46290138232292893,"Normal{Float32}(μ=0.1318f0, σ=0.2636f0)","Normal{Float32}(μ=2.1318f0, σ=0.2636f0)"
0.895,3.2615035253045184,"Normal{Float32}(μ=0.9411f0, σ=1.8822f0)","Normal{Float32}(μ=2.9411001f0, σ=1.8822f0)"
0.9133333333333333,0.1981013592777795,"Normal{Float32}(μ=0.0571f0, σ=0.1142f0)","Normal{Float32}(μ=2.0571f0, σ=0.1142f0)"
0.8938888888888888,0.8577563309057135,"Normal{Float32}(μ=0.2456f0, σ=0.4912f0)","Normal{Float32}(μ=2.2456f0, σ=0.4912f0)"
0.8961111111111111,2.805768441850323,"Normal{Float32}(μ=0.8059f0, σ=1.6118f0)","Normal{Float32}(μ=2.8059f0, σ=1.6118f0)"
0.9038888888888889,1.1753619405298192,"Normal{Float32}(μ=0.3378f0, σ=0.6756f0)","Normal{Float32}(μ=2.3378f0, σ=0.6756f0)"
0.8972222222222223,2.87804713514366,"Normal{Float32}(μ=0.8237f0, σ=1.6474f0)","Normal{Float32}(μ=2.8237f0, σ=1.6474f0)"
0.9038888888888889,1.5643575090818826,"Normal{Float32}(μ=0.4505f0, σ=0.901f0)","Normal{Float32}(μ=2.4505f0, σ=0.901f0)"
0.9022222222222223,3.0950215679827098,"Normal{Float32}(μ=0.8914f0, σ=1.7828f0)","Normal{Float32}(μ=2.8913999f0, σ=1.7828f0)"
0.8922222222222222,2.495617511713797,"Normal{Float32}(μ=0.711f0, σ=1.422f0)","Normal{Float32}(μ=2.711f0, σ=1.422f0)"
0.8944444444444445,1.2484425091516371,"Normal{Float32}(μ=0.3606f0, σ=0.7212f0)","Normal{Float32}(μ=2.3606f0, σ=0.7212f0)"
0.9038888888888889,0.9097928355180308,"Normal{Float32}(μ=0.2596f0, σ=0.5192f0)","Normal{Float32}(μ=2.2596f0, σ=0.5192f0)"
