prob,width,distrX,distrY
0.92944443,59464.934,"Gamma{Float64}(α=6.0, θ=6.0)","Gamma{Float64}(α=1008.0, θ=1001.0)"
0.9355556,60696.793,"Gamma{Float64}(α=6.0, θ=1.0)","Gamma{Float64}(α=1008.0, θ=1010.0)"
0.9255555,59585.91,"Gamma{Float64}(α=9.0, θ=6.0)","Gamma{Float64}(α=1007.0, θ=1007.0)"
0.94166666,60373.297,"Gamma{Float64}(α=2.0, θ=2.0)","Gamma{Float64}(α=1004.0, θ=1010.0)"
0.9261111,58682.48,"Gamma{Float64}(α=6.0, θ=7.0)","Gamma{Float64}(α=1007.0, θ=1007.0)"
0.9355556,59248.24,"Gamma{Float64}(α=4.0, θ=10.0)","Gamma{Float64}(α=1000.0, θ=1001.0)"
0.9316667,60072.188,"Gamma{Float64}(α=1.0, θ=3.0)","Gamma{Float64}(α=1002.0, θ=1010.0)"
0.9316667,59614.688,"Gamma{Float64}(α=10.0, θ=10.0)","Gamma{Float64}(α=1000.0, θ=1003.0)"
0.92833334,59385.96,"Gamma{Float64}(α=6.0, θ=7.0)","Gamma{Float64}(α=1005.0, θ=1006.0)"
0.9444444,59844.008,"Gamma{Float64}(α=4.0, θ=6.0)","Gamma{Float64}(α=1006.0, θ=1009.0)"
0.9483333,59977.406,"Gamma{Float64}(α=6.0, θ=3.0)","Gamma{Float64}(α=1000.0, θ=1006.0)"
0.9361111,59757.26,"Gamma{Float64}(α=9.0, θ=3.0)","Gamma{Float64}(α=1003.0, θ=1010.0)"
0.9411111,59746.52,"Gamma{Float64}(α=1.0, θ=8.0)","Gamma{Float64}(α=1008.0, θ=1009.0)"
0.92944443,59053.465,"Gamma{Float64}(α=5.0, θ=7.0)","Gamma{Float64}(α=1005.0, θ=1003.0)"
0.9305556,59316.363,"Gamma{Float64}(α=4.0, θ=8.0)","Gamma{Float64}(α=1002.0, θ=1001.0)"
0.94722223,59609.67,"Gamma{Float64}(α=2.0, θ=1.0)","Gamma{Float64}(α=1009.0, θ=1005.0)"
