prob,width,distrX,distrY
0.96444446,99754.414,"Gamma{Float64}(α=6.0, θ=6.0)","Gamma{Float64}(α=1008.0, θ=1001.0)"
0.9633333,103543.51,"Gamma{Float64}(α=6.0, θ=1.0)","Gamma{Float64}(α=1008.0, θ=1010.0)"
0.95666665,100447.22,"Gamma{Float64}(α=9.0, θ=6.0)","Gamma{Float64}(α=1007.0, θ=1007.0)"
0.97055554,99673.69,"Gamma{Float64}(α=2.0, θ=2.0)","Gamma{Float64}(α=1004.0, θ=1010.0)"
0.9638889,99186.2,"Gamma{Float64}(α=6.0, θ=7.0)","Gamma{Float64}(α=1007.0, θ=1007.0)"
0.9716667,99828.11,"Gamma{Float64}(α=4.0, θ=10.0)","Gamma{Float64}(α=1000.0, θ=1001.0)"
0.9627778,101643.4,"Gamma{Float64}(α=1.0, θ=3.0)","Gamma{Float64}(α=1002.0, θ=1010.0)"
0.9661111,99569.7,"Gamma{Float64}(α=10.0, θ=10.0)","Gamma{Float64}(α=1000.0, θ=1003.0)"
0.9661111,99813.68,"Gamma{Float64}(α=6.0, θ=7.0)","Gamma{Float64}(α=1005.0, θ=1006.0)"
0.9716667,100244.98,"Gamma{Float64}(α=4.0, θ=6.0)","Gamma{Float64}(α=1006.0, θ=1009.0)"
0.9738889,101644.59,"Gamma{Float64}(α=6.0, θ=3.0)","Gamma{Float64}(α=1000.0, θ=1006.0)"
0.9661111,101068.555,"Gamma{Float64}(α=9.0, θ=3.0)","Gamma{Float64}(α=1003.0, θ=1010.0)"
0.9677778,100364.73,"Gamma{Float64}(α=1.0, θ=8.0)","Gamma{Float64}(α=1008.0, θ=1009.0)"
0.96166664,98755.09,"Gamma{Float64}(α=5.0, θ=7.0)","Gamma{Float64}(α=1005.0, θ=1003.0)"
0.9672222,99649.63,"Gamma{Float64}(α=4.0, θ=8.0)","Gamma{Float64}(α=1002.0, θ=1001.0)"
0.9777778,100700.0,"Gamma{Float64}(α=2.0, θ=1.0)","Gamma{Float64}(α=1009.0, θ=1005.0)"
0.9688889,102041.31,"Gamma{Float64}(α=8.0, θ=5.0)","Gamma{Float64}(α=1005.0, θ=1001.0)"
0.97444445,100117.43,"Gamma{Float64}(α=6.0, θ=1.0)","Gamma{Float64}(α=1009.0, θ=1008.0)"
0.9683333,102472.8,"Gamma{Float64}(α=7.0, θ=1.0)","Gamma{Float64}(α=1008.0, θ=1010.0)"
0.9638889,100385.81,"Gamma{Float64}(α=3.0, θ=1.0)","Gamma{Float64}(α=1009.0, θ=1006.0)"
0.97,100191.15,"Gamma{Float64}(α=3.0, θ=10.0)","Gamma{Float64}(α=1002.0, θ=1005.0)"
0.9622222,101165.81,"Gamma{Float64}(α=10.0, θ=7.0)","Gamma{Float64}(α=1009.0, θ=1007.0)"
0.9672222,99573.85,"Gamma{Float64}(α=9.0, θ=7.0)","Gamma{Float64}(α=1000.0, θ=1007.0)"
0.9677778,100790.836,"Gamma{Float64}(α=3.0, θ=8.0)","Gamma{Float64}(α=1010.0, θ=1001.0)"
0.96444446,99842.58,"Gamma{Float64}(α=4.0, θ=8.0)","Gamma{Float64}(α=1005.0, θ=1008.0)"
0.9677778,100350.664,"Gamma{Float64}(α=2.0, θ=1.0)","Gamma{Float64}(α=1000.0, θ=1002.0)"
0.9627778,101290.266,"Gamma{Float64}(α=1.0, θ=7.0)","Gamma{Float64}(α=1001.0, θ=1009.0)"
0.9727778,99168.78,"Gamma{Float64}(α=4.0, θ=10.0)","Gamma{Float64}(α=1001.0, θ=1005.0)"
0.9722222,100437.46,"Gamma{Float64}(α=5.0, θ=1.0)","Gamma{Float64}(α=1009.0, θ=1003.0)"
0.96944445,99712.734,"Gamma{Float64}(α=8.0, θ=1.0)","Gamma{Float64}(α=1009.0, θ=1008.0)"
0.965,101939.52,"Gamma{Float64}(α=3.0, θ=6.0)","Gamma{Float64}(α=1009.0, θ=1006.0)"
0.9688889,98321.336,"Gamma{Float64}(α=1.0, θ=6.0)","Gamma{Float64}(α=1007.0, θ=1004.0)"
0.97,99430.49,"Gamma{Float64}(α=6.0, θ=7.0)","Gamma{Float64}(α=1009.0, θ=1003.0)"
0.96555555,100922.69,"Gamma{Float64}(α=4.0, θ=9.0)","Gamma{Float64}(α=1007.0, θ=1006.0)"
0.9766667,101704.27,"Gamma{Float64}(α=2.0, θ=2.0)","Gamma{Float64}(α=1005.0, θ=1002.0)"
0.9683333,98887.5,"Gamma{Float64}(α=3.0, θ=3.0)","Gamma{Float64}(α=1003.0, θ=1005.0)"
0.9761111,100722.86,"Gamma{Float64}(α=4.0, θ=10.0)","Gamma{Float64}(α=1004.0, θ=1002.0)"
0.95944446,99567.42,"Gamma{Float64}(α=1.0, θ=4.0)","Gamma{Float64}(α=1001.0, θ=1008.0)"
0.9716667,100468.625,"Gamma{Float64}(α=1.0, θ=5.0)","Gamma{Float64}(α=1001.0, θ=1007.0)"
0.96166664,99430.3,"Gamma{Float64}(α=10.0, θ=2.0)","Gamma{Float64}(α=1002.0, θ=1008.0)"
0.9772222,101019.805,"Gamma{Float64}(α=4.0, θ=3.0)","Gamma{Float64}(α=1001.0, θ=1007.0)"
0.9688889,97982.97,"Gamma{Float64}(α=8.0, θ=2.0)","Gamma{Float64}(α=1005.0, θ=1002.0)"
0.9716667,99980.445,"Gamma{Float64}(α=4.0, θ=7.0)","Gamma{Float64}(α=1004.0, θ=1004.0)"
0.96944445,99256.8,"Gamma{Float64}(α=9.0, θ=5.0)","Gamma{Float64}(α=1001.0, θ=1000.0)"
0.9611111,100705.84,"Gamma{Float64}(α=3.0, θ=1.0)","Gamma{Float64}(α=1002.0, θ=1004.0)"
0.9738889,101717.35,"Gamma{Float64}(α=10.0, θ=6.0)","Gamma{Float64}(α=1009.0, θ=1009.0)"
0.9688889,101630.125,"Gamma{Float64}(α=9.0, θ=2.0)","Gamma{Float64}(α=1000.0, θ=1005.0)"
0.97,100396.99,"Gamma{Float64}(α=8.0, θ=10.0)","Gamma{Float64}(α=1000.0, θ=1008.0)"
0.9572222,99737.1,"Gamma{Float64}(α=2.0, θ=9.0)","Gamma{Float64}(α=1004.0, θ=1010.0)"
0.9633333,100842.97,"Gamma{Float64}(α=6.0, θ=10.0)","Gamma{Float64}(α=1009.0, θ=1000.0)"
0.965,100295.41,"Gamma{Float64}(α=9.0, θ=5.0)","Gamma{Float64}(α=1006.0, θ=1003.0)"
0.9722222,101266.31,"Gamma{Float64}(α=3.0, θ=7.0)","Gamma{Float64}(α=1003.0, θ=1009.0)"
0.9738889,101684.21,"Gamma{Float64}(α=9.0, θ=7.0)","Gamma{Float64}(α=1005.0, θ=1000.0)"
0.95611113,99946.92,"Gamma{Float64}(α=4.0, θ=7.0)","Gamma{Float64}(α=1001.0, θ=1006.0)"
0.96666664,100913.6,"Gamma{Float64}(α=7.0, θ=5.0)","Gamma{Float64}(α=1007.0, θ=1005.0)"
0.9738889,99973.23,"Gamma{Float64}(α=10.0, θ=6.0)","Gamma{Float64}(α=1008.0, θ=1002.0)"
0.9677778,101099.19,"Gamma{Float64}(α=8.0, θ=8.0)","Gamma{Float64}(α=1010.0, θ=1000.0)"
0.97555554,101074.14,"Gamma{Float64}(α=7.0, θ=8.0)","Gamma{Float64}(α=1007.0, θ=1001.0)"
0.97055554,103118.516,"Gamma{Float64}(α=9.0, θ=10.0)","Gamma{Float64}(α=1010.0, θ=1001.0)"
0.96555555,101079.87,"Gamma{Float64}(α=5.0, θ=8.0)","Gamma{Float64}(α=1008.0, θ=1010.0)"
0.9727778,99758.5,"Gamma{Float64}(α=5.0, θ=2.0)","Gamma{Float64}(α=1007.0, θ=1007.0)"
0.9711111,102518.2,"Gamma{Float64}(α=2.0, θ=7.0)","Gamma{Float64}(α=1009.0, θ=1006.0)"
0.97333336,102340.66,"Gamma{Float64}(α=6.0, θ=2.0)","Gamma{Float64}(α=1002.0, θ=1009.0)"
0.9727778,100667.27,"Gamma{Float64}(α=6.0, θ=10.0)","Gamma{Float64}(α=1009.0, θ=1001.0)"
0.9738889,100236.46,"Gamma{Float64}(α=5.0, θ=5.0)","Gamma{Float64}(α=1002.0, θ=1001.0)"
0.97055554,99384.16,"Gamma{Float64}(α=9.0, θ=2.0)","Gamma{Float64}(α=1005.0, θ=1004.0)"
0.9588889,100722.49,"Gamma{Float64}(α=6.0, θ=1.0)","Gamma{Float64}(α=1009.0, θ=1009.0)"
0.97,98443.805,"Gamma{Float64}(α=9.0, θ=4.0)","Gamma{Float64}(α=1001.0, θ=1001.0)"
0.96944445,99414.58,"Gamma{Float64}(α=6.0, θ=7.0)","Gamma{Float64}(α=1002.0, θ=1001.0)"
0.96444446,99438.33,"Gamma{Float64}(α=8.0, θ=3.0)","Gamma{Float64}(α=1001.0, θ=1009.0)"
0.9677778,102117.08,"Gamma{Float64}(α=1.0, θ=3.0)","Gamma{Float64}(α=1009.0, θ=1009.0)"
0.9661111,99353.54,"Gamma{Float64}(α=10.0, θ=10.0)","Gamma{Float64}(α=1007.0, θ=1004.0)"
0.9672222,100138.26,"Gamma{Float64}(α=9.0, θ=2.0)","Gamma{Float64}(α=1007.0, θ=1007.0)"
0.9711111,99460.25,"Gamma{Float64}(α=8.0, θ=3.0)","Gamma{Float64}(α=1000.0, θ=1005.0)"
0.97055554,98924.5,"Gamma{Float64}(α=8.0, θ=2.0)","Gamma{Float64}(α=1008.0, θ=1001.0)"
0.96055555,101601.54,"Gamma{Float64}(α=7.0, θ=7.0)","Gamma{Float64}(α=1001.0, θ=1010.0)"
0.97333336,99125.55,"Gamma{Float64}(α=5.0, θ=6.0)","Gamma{Float64}(α=1002.0, θ=1004.0)"
0.9638889,100310.38,"Gamma{Float64}(α=1.0, θ=4.0)","Gamma{Float64}(α=1002.0, θ=1008.0)"
0.96666664,99048.99,"Gamma{Float64}(α=7.0, θ=1.0)","Gamma{Float64}(α=1001.0, θ=1007.0)"
0.96944445,101030.875,"Gamma{Float64}(α=8.0, θ=9.0)","Gamma{Float64}(α=1005.0, θ=1006.0)"
0.96444446,100137.53,"Gamma{Float64}(α=10.0, θ=6.0)","Gamma{Float64}(α=1004.0, θ=1005.0)"
0.97,100999.47,"Gamma{Float64}(α=2.0, θ=9.0)","Gamma{Float64}(α=1004.0, θ=1006.0)"
0.96944445,101517.61,"Gamma{Float64}(α=2.0, θ=2.0)","Gamma{Float64}(α=1008.0, θ=1007.0)"
0.9661111,98491.4,"Gamma{Float64}(α=1.0, θ=10.0)","Gamma{Float64}(α=1000.0, θ=1001.0)"
0.96944445,100866.1,"Gamma{Float64}(α=1.0, θ=8.0)","Gamma{Float64}(α=1006.0, θ=1008.0)"
0.96944445,101386.914,"Gamma{Float64}(α=7.0, θ=9.0)","Gamma{Float64}(α=1010.0, θ=1009.0)"
0.9722222,101532.8,"Gamma{Float64}(α=7.0, θ=10.0)","Gamma{Float64}(α=1008.0, θ=1002.0)"
0.9638889,102021.125,"Gamma{Float64}(α=3.0, θ=2.0)","Gamma{Float64}(α=1010.0, θ=1008.0)"
0.9672222,98619.33,"Gamma{Float64}(α=7.0, θ=7.0)","Gamma{Float64}(α=1007.0, θ=1003.0)"
0.9627778,100021.016,"Gamma{Float64}(α=4.0, θ=7.0)","Gamma{Float64}(α=1008.0, θ=1006.0)"
0.9672222,102151.79,"Gamma{Float64}(α=8.0, θ=2.0)","Gamma{Float64}(α=1009.0, θ=1003.0)"
0.95944446,100834.516,"Gamma{Float64}(α=9.0, θ=1.0)","Gamma{Float64}(α=1008.0, θ=1008.0)"
0.9661111,101251.17,"Gamma{Float64}(α=7.0, θ=1.0)","Gamma{Float64}(α=1002.0, θ=1007.0)"
0.96666664,101343.21,"Gamma{Float64}(α=1.0, θ=8.0)","Gamma{Float64}(α=1006.0, θ=1010.0)"
0.96944445,100536.19,"Gamma{Float64}(α=2.0, θ=7.0)","Gamma{Float64}(α=1008.0, θ=1002.0)"
0.9716667,99503.02,"Gamma{Float64}(α=2.0, θ=5.0)","Gamma{Float64}(α=1002.0, θ=1007.0)"
0.9577778,99268.24,"Gamma{Float64}(α=8.0, θ=6.0)","Gamma{Float64}(α=1003.0, θ=1007.0)"
0.9711111,103096.15,"Gamma{Float64}(α=9.0, θ=5.0)","Gamma{Float64}(α=1010.0, θ=1006.0)"
0.97055554,100772.39,"Gamma{Float64}(α=2.0, θ=2.0)","Gamma{Float64}(α=1010.0, θ=1003.0)"
0.9677778,100944.48,"Gamma{Float64}(α=8.0, θ=3.0)","Gamma{Float64}(α=1006.0, θ=1006.0)"
