prob,width,distrX,distrY
0.953,4.593711,"Normal{Float32}(μ=0.90629965f0, σ=1.8125993f0)","Normal{Float32}(μ=0.90629965f0, σ=1.8125993f0)"
0.943,2.2361426,"Normal{Float32}(μ=0.44349372f0, σ=0.88698745f0)","Normal{Float32}(μ=0.44349372f0, σ=0.88698745f0)"
0.958,3.8195517,"Normal{Float32}(μ=0.74567336f0, σ=1.4913467f0)","Normal{Float32}(μ=0.74567336f0, σ=1.4913467f0)"
0.954,2.5885224,"Normal{Float32}(μ=0.51208305f0, σ=1.0241661f0)","Normal{Float32}(μ=0.51208305f0, σ=1.0241661f0)"
0.952,1.2722769,"Normal{Float32}(μ=0.2538491f0, σ=0.5076982f0)","Normal{Float32}(μ=0.2538491f0, σ=0.5076982f0)"
0.955,1.6680582,"Normal{Float32}(μ=0.33415154f0, σ=0.6683031f0)","Normal{Float32}(μ=0.33415154f0, σ=0.6683031f0)"
0.946,2.1566753,"Normal{Float32}(μ=0.42732787f0, σ=0.85465574f0)","Normal{Float32}(μ=0.42732787f0, σ=0.85465574f0)"
0.954,4.378708,"Normal{Float32}(μ=0.8675472f0, σ=1.7350944f0)","Normal{Float32}(μ=0.8675472f0, σ=1.7350944f0)"
0.951,2.979809,"Normal{Float32}(μ=0.58191234f0, σ=1.1638247f0)","Normal{Float32}(μ=0.58191234f0, σ=1.1638247f0)"
0.948,1.5612525,"Normal{Float32}(μ=0.3114475f0, σ=0.622895f0)","Normal{Float32}(μ=0.3114475f0, σ=0.622895f0)"
