prob,width,distrX,distrY
0.953,4.606605,"Normal{Float32}(μ=0.90629965f0, σ=1.8125993f0)","Normal{Float32}(μ=0.90629965f0, σ=1.8125993f0)"
0.941,2.2379844,"Normal{Float32}(μ=0.44349372f0, σ=0.88698745f0)","Normal{Float32}(μ=0.44349372f0, σ=0.88698745f0)"
0.959,3.8258755,"Normal{Float32}(μ=0.74567336f0, σ=1.4913467f0)","Normal{Float32}(μ=0.74567336f0, σ=1.4913467f0)"
0.955,2.5934682,"Normal{Float32}(μ=0.51208305f0, σ=1.0241661f0)","Normal{Float32}(μ=0.51208305f0, σ=1.0241661f0)"
0.95,1.275087,"Normal{Float32}(μ=0.2538491f0, σ=0.5076982f0)","Normal{Float32}(μ=0.2538491f0, σ=0.5076982f0)"
0.957,1.672385,"Normal{Float32}(μ=0.33415154f0, σ=0.6683031f0)","Normal{Float32}(μ=0.33415154f0, σ=0.6683031f0)"
0.945,2.1620626,"Normal{Float32}(μ=0.42732787f0, σ=0.85465574f0)","Normal{Float32}(μ=0.42732787f0, σ=0.85465574f0)"
0.954,4.388048,"Normal{Float32}(μ=0.8675472f0, σ=1.7350944f0)","Normal{Float32}(μ=0.8675472f0, σ=1.7350944f0)"
0.95,2.9847128,"Normal{Float32}(μ=0.58191234f0, σ=1.1638247f0)","Normal{Float32}(μ=0.58191234f0, σ=1.1638247f0)"
0.947,1.5648072,"Normal{Float32}(μ=0.3114475f0, σ=0.622895f0)","Normal{Float32}(μ=0.3114475f0, σ=0.622895f0)"
